Adj Close,Adj Close,Volume,Volume
0559.HK,2188.HK,0559.HK,2188.HK
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.13599157333374,,0,
4.628371238708496,,0,
4.628371238708496,,316000,
4.579133987426758,,358000,
4.579133987426758,,16000,
4.579133987426758,,80465,
4.628371238708496,,328000,
4.332943439483643,,27500,
4.382181167602539,,30000,
4.529895782470703,,312000,
4.579133987426758,,950000,
4.529895782470703,,1040000,
4.579133987426758,,924000,
4.431419372558594,,814000,
4.431419372558594,,1340000,
4.431419372558594,,1458000,
4.332943439483643,,1441000,
4.382181167602539,,2219000,
4.332943439483643,,786000,
4.431419372558594,,608000,
4.431419372558594,,870000,
4.382181167602539,,1180000,
4.382181167602539,,1290000,
4.382181167602539,,1350000,
4.332943439483643,,1478000,
4.332943439483643,,930000,
4.234467506408691,,1140000,
4.332943439483643,,1610000,
4.332943439483643,,1422000,
4.283705711364746,,1361135,
4.332943439483643,,1172000,
4.234467506408691,,802000,
4.185229301452637,,1204000,
4.234467506408691,,1240000,
4.234467506408691,,1060000,
4.332943439483643,,1046000,
4.283705711364746,,1374000,
4.332943439483643,,1520000,
4.283705711364746,,1238000,
4.283705711364746,,1634000,
4.332943439483643,,1246000,
4.234467506408691,,1094000,
4.283705711364746,,1236000,
4.234467506408691,,1510000,
4.431419372558594,,1219300,
4.234467506408691,,1030000,
4.283705711364746,,1022000,
4.283705711364746,,870000,
4.234467506408691,,952000,
4.234467506408691,,1068000,
4.185229301452637,,1020000,
4.185229301452637,,960000,
4.283705711364746,,1880000,
4.480657577514648,,2280000,
4.677609443664551,,2240000,
4.776085376739502,,2436000,
4.677609443664551,,3260000,
4.677609443664551,,3210000,
4.677609443664551,,3196000,
4.92379903793335,,5305000,
4.825323581695557,,6296000,
4.776085376739502,,6256400,
4.874560832977295,,6284000,
4.874560832977295,,7191999,
4.825323581695557,,7057999,
4.726847171783447,,7247999,
5.022275447845459,,10815999,
5.366940975189209,,12683999,
5.366940975189209,,0,
5.366940975189209,,0,
4.579133987426758,,81186998,
4.579133987426758,,14727999,
4.628371238708496,,3450000,
4.579133987426758,,3732000,
4.480657577514648,,2704000,
4.480657577514648,,2934000,
4.480657577514648,,1580000,
4.480657577514648,,1644000,
4.382181167602539,,1492500,
4.579133987426758,,3228000,
4.529895782470703,,1986000,
4.579133987426758,,2232125,
4.529895782470703,,1496000,
4.677609443664551,,4478000,
4.726847171783447,,4038000,
4.677609443664551,,1369500,
4.9730377197265625,,4804000,
4.92379903793335,,12381999,
4.874560832977295,,3142000,
4.825323581695557,,1316000,
4.825323581695557,,700000,
4.726847171783447,,548000,
4.628371238708496,,708000,
4.529895782470703,,324000,
4.579133987426758,,278000,
4.529895782470703,,210000,
4.529895782470703,,860000,
4.382181167602539,,540000,
4.480657577514648,,1364000,
4.382181167602539,,202000,
4.480657577514648,,5618000,
4.480657577514648,,750300,
4.382181167602539,,468000,
4.431419372558594,,656000,
4.480657577514648,,1232000,
4.480657577514648,,844000,
4.480657577514648,,638000,
4.579133987426758,,3054000,
4.480657577514648,,2222000,
4.431419372558594,,530000,
4.579133987426758,,2102000,
4.579133987426758,,0,
4.579133987426758,,0,
4.579133987426758,,0,
4.579133987426758,,0,
3.200469732284546,,134373998,
1.9449008703231812,,58787999,
1.9941388368606567,,31223999,
1.772567868232727,,12655999,
1.8956626653671265,,6326000,
1.8464248180389404,,3694000,
1.8956626653671265,,3858000,
1.8956626653671265,,2354000,
1.8710436820983887,,2330000,
1.7971868515014648,,1470000,
1.7971868515014648,,4820000,
1.7479486465454102,,1696000,
1.772567868232727,,814000,
1.7479486465454102,,1108000,
1.723329782485962,,964000,
1.5509968996047974,,2102000,
1.5017586946487427,,5280000,
1.52637779712677,,2390000,
1.4771398305892944,,1400000,
1.5756157636642456,,762000,
1.772567868232727,,2014000,
1.723329782485962,,1580000,
1.723329782485962,,734000,
1.723329782485962,,432000,
1.723329782485962,,424000,
1.6987107992172241,,476600,
1.6987107992172241,,998000,
1.6740918159484863,,424000,
1.6740918159484863,,812000,
1.6740918159484863,,1500000,
1.6740918159484863,,880000,
1.6494728326797485,,460000,
1.52637779712677,,832000,
1.5017586946487427,,599300,
1.52637779712677,,192000,
1.5017586946487427,,196000,
1.5017586946487427,,174000,
1.4525208473205566,,313500,
1.52637779712677,,176000,
1.4771398305892944,,1082000,
1.4771398305892944,,738000,
1.5017586946487427,,450000,
1.52637779712677,,358000,
1.5017586946487427,,548000,
1.4771398305892944,,478000,
1.6248537302017212,,1774100,
1.600234866142273,,308000,
1.600234866142273,,1848000,
1.6494728326797485,,1406000,
1.8710436820983887,,6004000,
1.772567868232727,,4526000,
1.8464248180389404,,6580000,
1.8464248180389404,,1652000,
1.8218058347702026,,1896000,
1.8464248180389404,,3434000,
1.8464248180389404,,3500000,
1.8710436820983887,,2196000,
1.772567868232727,,3410000,
1.7971868515014648,,2312000,
1.6987107992172241,,3526000,
1.7479486465454102,,2362000,
1.7479486465454102,,3006000,
1.723329782485962,,4410000,
1.6740918159484863,,1652000,
1.7479486465454102,,3558000,
1.6987107992172241,,4032000,
1.6740918159484863,,2270000,
1.6740918159484863,,2738000,
1.723329782485962,,1788000,
1.6987107992172241,,3276000,
1.5509968996047974,,4518000,
1.600234866142273,,2340000,
1.600234866142273,,2032000,
1.600234866142273,,1606000,
1.4771398305892944,,2080000,
1.4771398305892944,,2438000,
1.5017586946487427,,2126000,
