Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0148.HK,0336.HK,0362.HK,0395.HK,0408.HK,0546.HK,0549.HK,0582.HK,0609.HK,0827.HK,0868.HK,1033.HK,2168.HK,2341.HK,8208.HK,8329.HK,0148.HK,0336.HK,0362.HK,0395.HK,0408.HK,0546.HK,0549.HK,0582.HK,0609.HK,0827.HK,0868.HK,1033.HK,2168.HK,2341.HK,8208.HK,8329.HK
7.276185512542725,0.6732726693153381,201.01129150390625,,0.7899940609931946,,,153.5194854736328,,,,1.0050275325775146,,0.5091108083724976,,,365640,205000,7068,,300000,,,0,,,,2076000,,414480,,
7.3197550773620605,0.6732726693153381,204.87689208984375,,0.7941524386405945,,,153.5194854736328,,,,0.9988989233970642,,0.5130273699760437,,,1110780,0,10347,,278000,,,0,,,,10206000,,388080,,
7.167261123657227,0.621975839138031,201.01129150390625,,0.7899940609931946,,,150.71437072753906,,,,0.9498735070228577,,0.4934457838535309,,,2108172,223400,12189,,522000,,,274,,,,13005000,,31680,,
7.406894207000732,0.705333411693573,197.14569091796875,,0.7858363389968872,,,150.71437072753906,,,,0.9376174211502075,,0.5012780427932739,,,1772100,282700,6768,,204000,,,0,,,,17514000,,63360,,
7.297971248626709,0.705333411693573,185.5488739013672,,0.7899940609931946,,,152.11692810058594,,,,0.9069757461547852,,0.4934457838535309,,,2394480,124840,19178,,980000,,,124,,,,13252500,,58080,,
7.42868185043335,0.6732726693153381,191.3472900390625,,0.8190993666648865,,,152.11692810058594,,,,0.870206356048584,,0.5169433951377869,,,2387880,160500,11286,,1680000,,,0,,,,20250000,,95040,,
7.276185512542725,0.8015151619911194,185.5488739013672,,0.8627569079399109,,,152.11692810058594,,,,0.851821780204773,,0.48952943086624146,,,413820,124140,14310,,3270000,,,0,,,,28212000,,36960,,
7.406894207000732,0.6732726693153381,177.8176727294922,,0.8419676423072815,,,152.11692810058594,,,,0.8947196006774902,,0.5012780427932739,,,1599180,119600,10140,,1140000,,,0,,,,6507000,,39600,,
7.711885929107666,0.628387987613678,183.61607360839844,,0.8315728902816772,,,152.11692810058594,,,,0.9008480906486511,,0.5012780427932739,,,4801529,25000,8161,,804000,,,0,,,,11877657,,68640,,
7.668316841125488,0.634800136089325,187.48167419433594,,0.8419676423072815,,,152.11692810058594,,,,0.8947196006774902,,0.5012780427932739,,,1517340,681200,7450,,702000,,,0,,,,5385000,,190080,,
7.6465301513671875,0.634800136089325,208.74249267578125,,0.8731515407562256,,,152.11692810058594,,,,0.8947196006774902,,0.5169433951377869,,,489060,0,21877,,1646000,,,0,,,,5130000,,163680,,
7.820811748504639,0.634800136089325,208.74249267578125,,0.8731515407562256,,,152.11692810058594,,,,0.9008480906486511,,0.5247757434844971,,,2345640,300000,22001,,730000,,,0,,,,7392000,,451440,,
7.820811748504639,0.7694545388221741,220.33929443359375,,0.8731515407562256,,,153.5194854736328,,,,0.8947196006774902,,0.5208593010902405,,,1813711,1472900,33818,,442000,,,361,,,,7884000,,174240,,
7.6465301513671875,0.8207515478134155,220.33929443359375,,0.8523622155189514,,,153.5194854736328,,,,0.8763349652290344,,0.5208593010902405,,,1194518,476550,39770,,532000,,,0,,,,5430000,,0,,
7.711885929107666,0.8463999629020691,228.07049560546875,,0.8315728902816772,,,153.5194854736328,,,,0.8640788197517395,,0.5208593010902405,,,1770780,202000,51058,,448000,,,0,,,,10647000,,2640,,
7.711885929107666,0.7566303014755249,220.33929443359375,,0.8149415850639343,,,149.35189819335938,,,,0.8947196006774902,,0.5091108083724976,,,572220,55200,10880,,600000,,,324,,,,11052000,,31680,,
7.624747276306152,0.7181575298309326,220.33929443359375,,0.8232571482658386,,,139.57411193847656,,,,0.8824634552001953,,0.5169433951377869,,,554400,20000,5437,,414000,,,49,,,,11328000,,66000,,
7.6465301513671875,0.6925090551376343,220.33929443359375,,0.8835461735725403,,,150.71437072753906,,,,0.8763349652290344,,0.5208593010902405,,,1127280,27000,6143,,1218000,,,62,,,,7062000,,97680,,
7.668316841125488,0.6925090551376343,220.33929443359375,,0.8627569079399109,,,153.5194854736328,,,,0.8824634552001953,,0.5169433951377869,,,1144440,2000,5110,,704000,,,124,,,,5965800,,71280,,
7.668316841125488,0.6796849370002747,220.33929443359375,,0.8835461735725403,,,153.5194854736328,,,,0.8763349652290344,,0.5208593010902405,,,507540,25000,4543,,450000,,,498,,,,4182000,,50160,,
7.537605285644531,0.6796849370002747,220.33929443359375,,0.8731515407562256,,,153.5194854736328,,,,0.8763349652290344,,0.5169433951377869,,,896280,1000,17526,,150000,,,87,,,,6681624,,34320,,
7.755456447601318,0.7181575298309326,216.47369384765625,,0.8523622155189514,,,152.11692810058594,,,,0.8640788197517395,,0.5130273699760437,,,2425500,137000,24007,,350000,,,224,,,,7731000,,26400,,
7.973307132720947,0.8335760235786438,204.87689208984375,,0.8627569079399109,,,154.9220733642578,,,,0.870206356048584,,0.5130273699760437,,,4843080,435800,19919,,156000,,,149,,,,8403000,,31680,,
7.842596530914307,0.8784605860710144,208.74249267578125,,0.8731515407562256,,,154.9220733642578,,,0.3476002812385559,0.8763349652290344,,0.5130273699760437,,,1237500,538100,6803,,1102000,,,398,,,242941834.0,8322000,,0,,
