Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0032.HK,0044.HK,0308.HK,0357.HK,0694.HK,3399.HK,8348.HK,0032.HK,0044.HK,0308.HK,0357.HK,0694.HK,3399.HK,8348.HK
2.868543863296509,,1.843768835067749,4.296633243560791,2.2246172428131104,,,380935,,31630800,168000,920000,,
2.868543863296509,,1.9133442640304565,4.09522819519043,2.2075047492980957,,,469000,,43273048,814000,2710000,,
2.7923874855041504,,1.808980107307434,4.061661720275879,2.15616774559021,,,240000,,46465048,189000,3058004,,
2.7923874855041504,,1.808980107307434,4.061661720275879,2.1219427585601807,,,0,,30550800,1329000,6533400,,
2.7670018672943115,,1.7567983865737915,3.9609591960906982,2.1219427585601807,,,413000,,31539860,868400,2042000,,
2.741616725921631,,1.7394038438796997,4.061661720275879,2.1219427585601807,,,1006388,,14795000,228000,1894000,,
2.741616725921631,,1.7394038438796997,4.0280938148498535,2.15616774559021,,,861000,,15310000,152000,4719000,,
2.7162322998046875,,1.7567983865737915,4.0280938148498535,2.15616774559021,,,1331000,,14861000,356000,4542000,,
2.6908466815948486,,1.7394038438796997,3.994525194168091,2.15616774559021,,,1105000,,16328811,513000,980000,,
2.640075206756592,,1.704616665840149,3.9609591960906982,2.087717294692993,,,835000,,25772313,317000,3192000,,
2.6146903038024902,,1.704616665840149,4.061661720275879,2.1219427585601807,,,671250,,7764000,100900,1810000,,
2.563920259475708,,1.7394038438796997,4.0280938148498535,2.104830741882324,,,882000,,27505249,118000,6258000,,
2.563920259475708,,1.7394038438796997,3.9609591960906982,2.1219427585601807,,,293000,,14331000,266000,4338000,,
2.538534164428711,,1.7220100164413452,3.927391290664673,2.087717294692993,,,1544428,,10830000,562000,2412000,,
2.563920259475708,,1.704616665840149,3.927391290664673,2.087717294692993,,,1121122,,13210000,1022100,1388400,,
2.538534164428711,,1.6698280572891235,3.927391290664673,2.087717294692993,,,39114,,12438000,434000,3600000,,
2.538534164428711,,1.7220100164413452,3.8938238620758057,2.1219427585601807,,,30000,,13196000,187000,3430000,,
2.525840997695923,,1.7220100164413452,3.927391290664673,2.1732802391052246,,,29000,,12327000,353000,4854000,,
2.538534164428711,,1.7394038438796997,3.927391290664673,2.15616774559021,,,631024,,19806576,941000,5596000,,
2.538534164428711,,1.704616665840149,3.927391290664673,2.15616774559021,,,318000,,9030000,196000,6392000,,
2.525840997695923,,1.7220100164413452,3.8938238620758057,2.2759547233581543,,,409000,,15568000,986000,10296000,,
2.5893046855926514,,1.704616665840149,3.8266892433166504,2.1903927326202393,,,643000,,9386650,1089000,7680000,,
2.538534164428711,,1.704616665840149,3.8266892433166504,2.15616774559021,,,284000,,7795501,573000,15904000,,
2.563920259475708,,1.7220100164413452,3.793120861053467,2.2246172428131104,,,663000,,8126000,601400,1812000,,
2.538534164428711,,1.7220100164413452,3.8266892433166504,2.1903927326202393,,,128000,,2236000,684000,142168654,,
2.563920259475708,,1.7220100164413452,3.793120861053467,2.1390552520751953,,,942000,,9442000,1401000,9418000,,
2.563920259475708,,1.704616665840149,3.793120861053467,2.15616774559021,,,186000,,8422000,637000,4458000,,
2.563920259475708,,1.7394038438796997,3.7595529556274414,2.15616774559021,,,893000,,12590000,1494000,4148026,,
2.563920259475708,,1.7394038438796997,3.591716766357422,2.1219427585601807,,,537000,,9427510,4288000,6868000,,
2.563920259475708,,1.7915863990783691,3.6924188137054443,2.1390552520751953,,,357178,,55072000,2869600,7118000,,
2.538534164428711,,1.7915863990783691,3.6588518619537354,2.104830741882324,,,488000,,17777250,1475000,3514000,,
2.563920259475708,,1.808980107307434,3.6924188137054443,2.1390552520751953,,,382000,,11806475,1165000,2228000,,
2.563920259475708,,1.808980107307434,3.6588518619537354,2.1732802391052246,,,203706,,18744401,1324000,5207704,,
2.5893046855926514,,1.7915863990783691,3.6252834796905518,2.1390552520751953,,,422000,,19169528,580800,2784000,,
2.563920259475708,,1.8263744115829468,3.591716766357422,2.104830741882324,,,160344,,10642400,1821000,4081000,,
2.563920259475708,,1.8263744115829468,3.6252834796905518,2.104830741882324,,,504000,,12553328,870000,7690805,,
2.5893046855926514,,1.808980107307434,3.6252834796905518,2.1219427585601807,,,130500,,13458000,890000,13422000,,
2.5893046855926514,,1.7915863990783691,3.6588518619537354,2.1390552520751953,,,181000,,14343400,1683000,10684000,,
2.563920259475708,,1.808980107307434,3.6924188137054443,2.1219427585601807,,,359000,,11028000,647000,7194000,,
2.563920259475708,,1.774192452430725,3.7259867191314697,2.1390552520751953,,,133000,,11688000,1909000,7444000,,
2.563920259475708,,1.7915863990783691,3.7259867191314697,2.1390552520751953,,,82000,,7226000,441000,2780574,,
2.538534164428711,,1.774192452430725,3.6252834796905518,2.104830741882324,,,49174,,10493775,552000,3478000,,
2.563920259475708,,1.774192452430725,3.6588518619537354,2.1219427585601807,,,171000,,6788000,233000,3219700,,
2.563920259475708,,1.774192452430725,3.6588518619537354,2.1219427585601807,,,70000,,14182437,185000,2963900,,
2.563920259475708,,1.7567983865737915,3.6588518619537354,2.104830741882324,,,251551,,9936000,755000,2784000,,
2.538534164428711,,1.774192452430725,3.6924188137054443,2.104830741882324,,,33214,,14358000,422400,6875100,,
2.563920259475708,,1.774192452430725,3.6924188137054443,2.104830741882324,,,180000,,7304000,421000,1915300,,
2.563920259475708,,1.7567983865737915,3.6924188137054443,2.1219427585601807,,,2077000,,4395400,238000,1479300,,
