Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0006.HK,0090.HK,0182.HK,0712.HK,0750.HK,0836.HK,0882.HK,0902.HK,0956.HK,0991.HK,1071.HK,1798.HK,3393.HK,0006.HK,0090.HK,0182.HK,0712.HK,0750.HK,0836.HK,0882.HK,0902.HK,0956.HK,0991.HK,1071.HK,1798.HK,3393.HK
13.11804485321045,,,,,2.3157196044921875,2.430360794067383,2.7297351360321045,,1.322237253189087,1.2569057941436768,,,504849,,,,,2563976,1574000,7656000,,5112000,1672000,,
13.080984115600586,,,,,2.3157196044921875,2.4482309818267822,2.7297351360321045,,1.299439787864685,1.2842299938201904,,,3079371,,,,,1754460,2184000,14960000,,15324000,3028000,,
13.006869316101074,,,,,2.3020167350769043,2.3052685260772705,2.611050605773926,,1.2880412340164185,1.2705681324005127,,,4531411,,,,,3201406,3374000,41814000,,27195470,6222000,,
12.895703315734863,,,,,2.2883143424987793,2.3410091400146484,2.658524751663208,,1.2766427993774414,1.2705681324005127,,,2584903,,,,,5926267,1726000,34710072,,8908000,2756000,,
12.784530639648438,,,,,2.219801664352417,2.2695281505584717,2.658524751663208,,1.2880412340164185,1.2569057941436768,,,3663551,,,,,8694913,1386000,35683000,,13260000,8846000,,
12.85864543914795,,,,,2.247206926345825,2.323138475418091,2.658524751663208,,1.2766427993774414,1.2432440519332886,,,1651005,,,,,1853231,1366000,16322000,,6890000,4508000,,
12.784530639648438,,,,,2.247206926345825,2.2695281505584717,2.6347880363464355,,1.2766427993774414,1.2432440519332886,,,1420571,,,,,7486240,536000,15912000,,10184000,3996000,,
12.85864543914795,,,,,2.233504056930542,2.3767499923706055,2.611050605773926,,1.2766427993774414,1.2159197330474854,,,900572,,,,,1582374,1814000,24386000,,12354000,8166000,,
12.85864543914795,,,,,2.247206926345825,2.358879804611206,2.5873141288757324,,1.2766427993774414,1.2432440519332886,,,1244018,,,,,2724861,570000,28874796,,16928000,4132000,,
12.821586608886719,,,,,2.164992094039917,2.4124903678894043,2.516103506088257,,1.2424468994140625,1.2159197330474854,,,2679571,,,,,3916224,6806000,73180200,,16992200,6472000,,
12.821586608886719,,,,,2.110182046890259,2.5375828742980957,2.5398404598236084,,1.2652438879013062,1.2159197330474854,,,1723160,,,,,5240979,11796000,40839094,,37120000,4350000,,
12.821586608886719,,,,,2.0827767848968506,2.5375828742980957,2.5635766983032227,,1.2652438879013062,1.2432440519332886,,,2603130,,,,,10007449,5390000,25354000,,12120000,3280000,,
12.895703315734863,,,,,2.0827767848968506,2.5733232498168945,2.5398404598236084,,1.253845453262329,1.2432440519332886,,,2282314,,,,,4997615,7264000,36750600,,22268000,3266000,,
12.784530639648438,,,,,2.137586832046509,2.644804000854492,2.5398404598236084,,1.2652438879013062,1.2569057941436768,,,2679251,,,,,5516927,21058000,22763340,,22316000,4248000,,
12.821586608886719,,,,,2.123884677886963,2.6090641021728516,2.5398404598236084,,1.2310482263565063,1.2705681324005127,,,2497184,,,,,3013333,6652000,28623136,,24444000,1792000,,
12.673361778259277,,,,,2.0827767848968506,2.6090641021728516,2.5398404598236084,,1.2196495532989502,1.2295819520950317,,,3506103,,,,,1533498,3434000,19352864,,26703000,2468000,,
12.747478485107422,,,,,2.069074869155884,2.6090641021728516,2.516103506088257,,1.2310482263565063,1.2569057941436768,,,1964154,,,,,3322069,5782000,22436000,,16152000,4454000,,
12.85864543914795,,,,,2.0827767848968506,2.5375828742980957,2.5398404598236084,,1.2652438879013062,1.2842299938201904,,,2092714,,,,,7540207,10612000,28265300,,12504000,3528000,,
12.710418701171875,,,,,2.110182046890259,2.394619941711426,2.5635766983032227,,1.2766427993774414,1.2705681324005127,,,920490,,,,,3445788,8364000,20388600,,19680000,6006000,,
12.895703315734863,,,,,2.069074869155884,2.4482309818267822,2.5873141288757324,,1.2652438879013062,1.2978920936584473,,,1363654,,,,,4451828,3600000,29140000,,12174736,3897400,,
12.93276309967041,,,,,2.069074869155884,2.5018420219421387,2.5873141288757324,,1.2652438879013062,1.2569057941436768,,,3118626,,,,,2529355,3884000,24529164,,18328000,2440000,,
12.821586608886719,,,,,2.069074869155884,2.48397159576416,2.5635766983032227,,1.2766427993774414,1.2432440519332886,,,2725306,,,,,9505447,3124000,20221000,,8941250,4238000,,
12.710418701171875,,,,,2.0416693687438965,2.48397159576416,2.5873141288757324,,1.299439787864685,1.2842299938201904,,,2031617,,,,,10019668,1450000,25677000,,16007888,7844000,,
12.821586608886719,,,,,2.0827767848968506,2.4661014080047607,2.658524751663208,,1.322237253189087,1.2978920936584473,,,3271016,,,,,10042070,510000,56750248,,34786000,22412000,,
12.85864543914795,,,,,2.0964791774749756,2.4482309818267822,2.658524751663208,,1.3108383417129517,1.2978920936584473,,,1899000,,,,,7431254,1536000,57025459,,19636000,4344000,,
12.93276309967041,,,,,2.110182046890259,2.48397159576416,2.7297351360321045,,1.3564330339431763,1.3252158164978027,,,1748346,,,,,2503898,436000,22742152,,35421266,3841770,,
12.93276309967041,,,,,2.151289463043213,2.48397159576416,2.7297351360321045,,1.3792297840118408,1.3388781547546387,,,883500,,,,,4604567,552000,10622573,,20452064,2550000,,
13.006869316101074,,,,,2.137586832046509,2.5375828742980957,2.7297351360321045,,1.3108383417129517,1.3115540742874146,,,3314649,,,,,6639048,3626000,25985800,,48562000,4318000,,
