Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0128.HK,0130.HK,0221.HK,0238.HK,0330.HK,0413.HK,0533.HK,0647.HK,0709.HK,0789.HK,0891.HK,0999.HK,1368.HK,3813.HK,8272.HK,0128.HK,0130.HK,0221.HK,0238.HK,0330.HK,0413.HK,0533.HK,0647.HK,0709.HK,0789.HK,0891.HK,0999.HK,1368.HK,3813.HK,8272.HK
,1.1917272806167603,,,32.86225891113281,0.03510622680187225,0.260863333940506,,1.927167296409607,,,,,,,,246000,,,867025,0,581000,,5950000,,,,,,
,1.1810871362686157,,,31.8134708404541,0.03510622680187225,0.25486645102500916,,1.937309980392456,,,,,,,,428000,,,4307048,0,529280,,6237000,,,,,,
,1.127884864807129,,,31.463863372802734,0.03510622680187225,0.24886959791183472,,1.8865944147109985,,,,,,,,306000,,,7332365,0,380000,,8093000,,,,,,
,1.1491658687591553,,,30.20530891418457,0.03370198234915733,0.24886959791183472,,1.8967381715774536,,,,,,,,392000,,,6835443,25000,221000,,4487659,,,,,,
,1.0853232145309448,,,31.184188842773438,0.03370198234915733,0.2398742139339447,,1.8967381715774536,,,,,,,,372000,,,4068452,3860000,646000,,3089699,,,,,,
,1.127884864807129,,,31.533781051635742,0.03370198234915733,0.2398742139339447,,1.9068806171417236,,,,,,,,174000,,,3318332,0,130000,,2190000,,,,,,
,1.1066040992736816,,,31.8134708404541,0.03370198234915733,0.2428727149963379,,1.9170236587524414,,,,,,,,200000,,,3255669,0,312000,,1080000,,,,,,
,1.1491658687591553,,,32.30290603637695,0.03370198234915733,0.2428727149963379,,1.927167296409607,,,,,,,,34000,,,2941368,0,400000,,1404000,,,,,,
,1.127884864807129,,,32.372825622558594,0.03384240344166756,0.2428727149963379,,1.927167296409607,,,,,,,,184000,,,2353072,0,250000,,2546000,,,,,,
,1.127884864807129,,,32.02323532104492,0.03398282825946808,0.2428727149963379,,1.9170236587524414,,,,,,,,276000,,,3356970,0,230000,,1720000,,,,,,
,1.1172443628311157,,,31.8134708404541,0.03398282825946808,0.2428727149963379,,1.9474529027938843,,,,,,,,98000,,,2162181,0,359000,,750000,,,,,,
,1.1172443628311157,,,31.743549346923828,0.03398282825946808,0.2428727149963379,,1.988024353981018,,,,,,,,120000,,,3598717,0,0,,7660000,,,,,,
,1.127884864807129,,,31.393951416015625,0.03398282825946808,0.23687589168548584,,2.018453598022461,,,,,,,,276000,,,2457742,0,182000,,6234286,,,,,,
,1.0853232145309448,,,31.114269256591797,0.03398282825946808,0.2398742139339447,,2.0285961627960205,,,,,,,,468000,,,6368739,0,195000,,6842845,,,,,,
,1.0853232145309448,,,31.88338851928711,0.03510622680187225,0.2428727149963379,,2.018453598022461,,,,,,,,30000,,,3734924,225000,450000,,1965000,,,,,,
,1.0534019470214844,,,32.23299026489258,0.03651047870516777,0.2428727149963379,,2.018453598022461,,,,,,,,122000,,,3171621,0,90000,,1689025,,,,,,
,1.1066040992736816,,,32.51266860961914,0.04212747514247894,0.24886959791183472,,2.018453598022461,,,,,,,,340000,,,7035707,1187500,181000,,2885198,,,,,,
,1.1066040992736816,,,32.652503967285156,0.05336146056652069,0.2428727149963379,,1.9981677532196045,,,,,,,,106000,,,3318917,6525000,266000,,3100000,,,,,,
,1.170446515083313,,,31.953304290771484,0.05757421255111694,0.2428727149963379,,1.9575961828231812,,,,,,,,272000,,,2468125,1950000,540000,,2879337,,,,,,
,1.2023677825927734,,,31.463863372802734,0.05757421255111694,0.2428727149963379,,1.9575961828231812,,,,,,,,942000,,,2951128,0,510000,,1122657,,,,,,
,1.2449294328689575,,,31.603708267211914,0.05195721238851547,0.25186803936958313,,1.9575961828231812,,,,,,,,490000,,,3016679,37500,850000,,3540710,,,,,,
,1.2342894077301025,,,31.184188842773438,0.05195721238851547,0.25486645102500916,,1.967738151550293,,,,,,,,1308000,,,4257155,0,1590000,,6124950,,,,,,
,1.2342894077301025,,,31.393951416015625,0.04844658821821213,0.25186803936958313,,1.9981677532196045,,,,,,,,860000,,,3247589,11520,125000,,5518000,,,,,,
,1.2449294328689575,,,32.02323532104492,0.04844658821821213,0.25186803936958313,,2.0285961627960205,,,,,,,,228000,,,3580421,0,120000,,7256000,,,,,,
,1.2768510580062866,,,32.23299026489258,0.04844658821821213,0.25486645102500916,,2.0285961627960205,,,,,,,,404000,,,1761547,0,447000,,3900000,,,,,,
,1.2981315851211548,,,32.30290603637695,0.04844658821821213,0.25486645102500916,,2.0691683292388916,,,,,,,,124000,,,2935718,11520,170000,,4526000,,,,,,
,1.2874913215637207,,,31.8134708404541,0.04844658821821213,0.25486645102500916,,2.0285961627960205,,,,,,,,200000,,,2053306,0,120000,,2988000,,,,,,
,1.2555698156356812,,,31.603708267211914,0.04844658821821213,0.25486645102500916,,2.0285961627960205,,,,,,,,412000,,,3536160,0,615000,,2302500,,,,,,
,1.2555698156356812,,,31.533781051635742,0.04844658821821213,0.2578648328781128,,1.9778820276260376,,,,,,,,466000,,,3326651,0,295000,,3728000,,,,,,
,1.2555698156356812,,,32.51266860961914,0.04844658821821213,0.25486645102500916,,1.967738151550293,,,,,,,,228000,,,4279419,0,100000,,5200000,,,,,,
