Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0007.HK,0036.HK,0064.HK,0218.HK,0227.HK,0275.HK,0279.HK,0290.HK,0310.HK,0376.HK,0428.HK,0430.HK,0510.HK,0619.HK,0655.HK,0665.HK,0717.HK,0727.HK,0821.HK,1049.HK,1428.HK,1788.HK,8123.HK,8295.HK,0007.HK,0036.HK,0064.HK,0218.HK,0227.HK,0275.HK,0279.HK,0290.HK,0310.HK,0376.HK,0428.HK,0430.HK,0510.HK,0619.HK,0655.HK,0665.HK,0717.HK,0727.HK,0821.HK,1049.HK,1428.HK,1788.HK,8123.HK,8295.HK
0.6200000047683716,,0.5266282558441162,0.4538920223712921,0.651046633720398,,,2.7974131107330322,,10.0,1.690343976020813,0.3839995265007019,,2.26704740524292,1.1285744905471802,0.12909655272960663,,,0.7300000190734863,22.573223114013672,,,0.023547999560832977,,117000,,42937842,1082907,2446563,,,4820881,,0,0,0,,0,56010000,258787,,,228000,676,,,738894,
0.6100000143051147,,0.6358073949813843,0.4538920223712921,0.6246531009674072,,,2.644826889038086,,9.800000190734863,1.7348270416259766,0.43520015478134155,,2.26704740524292,1.2029119729995728,0.1279931664466858,,,0.9300000071525574,22.304494857788086,,,0.021663999184966087,,368000,,0,1270076,2916433,,,1300379,,0,0,0,,0,88104000,295108,,,795000,30851,,,1057383,
0.5600000023841858,,0.6358073949813843,0.43768125772476196,0.6070573329925537,,,2.517672061920166,,9.699999809265137,1.7348270416259766,0.49493345618247986,,2.1536948680877686,1.0677531957626343,0.12468315660953522,,,0.7599999904632568,22.573223114013672,,,0.021663999184966087,,240000,,0,2760745,2778713,,,823796,,8000,0,6643,,3947,66680000,2056678,,,356000,16633,,,0,
0.5799999833106995,,1.4129053354263306,0.43768125772476196,0.6070573329925537,,,2.746551036834717,,9.550000190734863,1.7793090343475342,0.49493345618247986,,3.0227303504943848,1.1015428304672241,0.12578649818897247,,,0.7699999809265137,22.573223114013672,,,0.026373999193310738,,430000,,283568754,1524092,1685050,,,1631077,,600,0,0,,445178,48866000,1157733,,,124000,4669,,,3032015,
0.5699999928474426,,1.1720690727233887,0.4430849254131317,0.5894607901573181,,,2.390516996383667,,9.5,1.7793090343475342,0.3583996891975403,,2.5693204402923584,0.9731422066688538,0.12468315660953522,,,0.7099999785423279,22.035764694213867,,,0.022606000304222107,,438000,,169658641,2894438,3135166,,,1333803,,2000,0,11073,,170000,55716000,712800,,,620000,800,,,2840921,
0.5699999928474426,,1.2523481845855713,0.43768125772476196,0.5982595086097717,,,2.3142240047454834,,9.550000190734863,1.7793090343475342,0.3839995265007019,,2.7960259914398193,0.959626317024231,0.12468315660953522,,,0.8199999928474426,20.1546630859375,,,0.022606000304222107,,0,,97681792,1276761,2065807,,,611457,,200,0,0,,76315,14156000,49941,,,48000,1125,,,414035,
0.6000000238418579,,0.9553164839744568,0.42147138714790344,0.5894607901573181,,,2.1616370677948,,9.449999809265137,1.7793090343475342,0.3839995265007019,,2.53153657913208,0.8447415828704834,0.12468315660953522,,,0.7699999809265137,19.885934829711914,,,0.019780000671744347,,120000,,76460419,788784,1142269,,,1668433,,160,0,33219,,132894,18648000,295108,,,40000,672,,,318489,
0.6000000238418579,,0.8670101165771484,0.42147138714790344,0.5806629061698914,,,2.085344076156616,,9.199999809265137,1.7793090343475342,0.3839995265007019,,2.53153657913208,0.8785310983657837,0.12468315660953522,,,0.699999988079071,19.885934829711914,,,0.019780000671744347,,0,,79629872,925150,1312395,,,265816,,1115,0,4429,,30263,15960000,295108,,,308000,6228,,,0,
0.6000000238418579,,0.8910936713218689,0.42687493562698364,0.5982595086097717,,,2.059912919998169,,8.899999618530273,1.7793090343475342,0.3839995265007019,,2.94716215133667,0.885289192199707,0.12578649818897247,,,0.75,19.885934829711914,,,0.025431999936699867,,0,,87198053,701884,1223281,,,793125,,2560,0,26575,,40723,18322000,158904,,,52000,230,,,1063753,
0.5400000214576721,,0.826870322227478,0.43227776885032654,0.6158552169799805,,,2.1362059116363525,,8.899999618530273,1.7793090343475342,0.43520015478134155,,2.8338093757629395,0.8717731833457947,0.12578649818897247,,,0.6800000071525574,19.34847640991211,,,0.025431999936699867,,1000,,32168471,735307,3086559,,,250874,,0,0,0,,46842,9118000,413151,,,76000,1034,,,0,
0.5400000214576721,,0.8910936713218689,0.4430849254131317,0.6422488689422607,,,2.2379310131073,,8.75,1.7793090343475342,0.3498660624027252,,2.7204573154449463,0.8582574129104614,0.12468315660953522,,,0.7200000286102295,19.34847640991211,,,0.025431999936699867,,0,,45764537,1370346,3548327,,,141166,,2440,0,5536,,15789,2682000,531195,,,0,65,,,0,
0.5400000214576721,,0.9071497321128845,0.43768125772476196,0.6334509253501892,,,2.2379310131073,,8.75,1.7793090343475342,0.37546688318252563,,3.0227303504943848,0.8785310983657837,0.1235794872045517,,,0.7200000286102295,19.617204666137695,,,0.025431999936699867,,0,,45804737,514715,2806257,,,619715,,0,0,0,,114605,4508000,208845,,,0,692,,,0,
