Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0366.HK,0385.HK,0691.HK,0743.HK,0803.HK,0914.HK,1108.HK,1136.HK,1313.HK,2009.HK,2233.HK,3323.HK,0366.HK,0385.HK,0691.HK,0743.HK,0803.HK,0914.HK,1108.HK,1136.HK,1313.HK,2009.HK,2233.HK,3323.HK
0.5781229734420776,,,,,1.8420922756195068,0.9100000262260437,,,,,,58000,,,,,2394000,466000,,,,,
0.5982317924499512,,,,,1.7763031721115112,0.9200000166893005,,,,,,63400,,,,,15684000,640000,,,,,
0.5982317924499512,,,,,1.6556895971298218,0.9200000166893005,,,,,,137100,,,,,29454000,90000,,,,,
0.5982317924499512,,,,,1.6885840892791748,0.8999999761581421,,,,,,0,,,,,15873000,408000,,,,,
0.5730958580970764,,,,,1.7105143070220947,0.9100000262260437,,,,,,74000,,,,,16314000,774000,,,,,
0.5680686831474304,,,,,1.6995491981506348,0.8999999761581421,,,,,,58000,,,,,8592000,234000,,,,,
0.552987277507782,,,,,1.6337604522705078,0.8999999761581421,,,,,,33000,,,,,20904000,0,,,,,
0.5630415678024292,,,,,1.6008654832839966,0.9100000262260437,,,,,,0,,,,,13590000,114000,,,,,
0.5881772637367249,,,,,1.6227949857711792,0.9100000262260437,,,,,,24000,,,,,7746000,664000,,,,,
0.5881772637367249,,,,,1.6666545867919922,0.9200000166893005,,,,,,0,,,,,4935000,434000,,,,,
0.5881772637367249,,,,,1.7653378248214722,0.9300000071525574,,,,,,76000,,,,,14844000,242000,,,,,
0.5831500887870789,,,,,1.7763031721115112,0.9399999976158142,,,,,,36800,,,,,15660000,270000,,,,,
0.5730958580970764,,,,,1.7982326745986938,0.9300000071525574,,,,,,35000,,,,,11268000,82000,,,,,
0.5730958580970764,,,,,1.7434086799621582,0.9200000166893005,,,,,,800,,,,,3630000,364000,,,,,
0.5730958580970764,,,,,1.6776199340820312,0.9200000166893005,,,,,,0,,,,,13740000,150000,,,,,
0.5580142736434937,,,,,1.6447248458862305,0.949999988079071,,,,,,4200,,,,,19740000,772000,,,,,
0.5680686831474304,,,,,1.6885840892791748,0.9599999785423279,,,,,,40000,,,,,11826000,878000,,,,,
0.5630415678024292,,,,,1.6995491981506348,0.9700000286102295,,,,,,40000,,,,,5244000,144000,,,,,
0.5630415678024292,,,,,1.7324435710906982,0.949999988079071,,,,,,0,,,,,5304000,660000,,,,,
0.5580142736434937,,,,,1.7763031721115112,0.9399999976158142,,,,,,60000,,,,,8502000,192000,,,,,
0.5982317924499512,,,,,1.7543730735778809,0.9599999785423279,,,,,,130000,,,,,4992501,1138000,,,,,
0.5982317924499512,,,,,1.7872674465179443,0.949999988079071,,,,,,1300,,,,,10548000,548000,,,,,
0.5881772637367249,,,,,1.7763031721115112,0.9599999785423279,,,,,,50000,,,,,6435000,468000,,,,,
0.5881772637367249,,,,,1.7982326745986938,0.949999988079071,,,,,,0,,,,,4776000,188000,,,,,
0.5630415678024292,,,,,1.7872674465179443,0.9700000286102295,,,,,,10000,,,,,4848000,88000,,,,,
0.5630415678024292,,,,,1.831127405166626,0.9599999785423279,,,,,,0,,,,,11864556,226000,,,,,
0.5730958580970764,,,,,1.8530564308166504,0.949999988079071,,,,,,0,,,,,7440000,88000,,,,,
0.5730958580970764,,,,,1.8749867677688599,0.949999988079071,,,,,,0,,,,,8742000,142000,,,,,
0.5680686831474304,,,,,1.8969162702560425,0.9700000286102295,,,,,,16000,,,,,9990000,566000,,,,,
0.5730958580970764,,,,,1.8749867677688599,0.9800000190734863,,,,,,150000,,,,,7250850,258000,,,,,
0.5680686831474304,,,,,1.8749867677688599,0.9700000286102295,,,,,,2000,,,,,6365400,360000,,,,,
0.5730958580970764,,,,,1.8640214204788208,0.9700000286102295,,,,,,192000,,,,,6138000,270000,,,,,
0.5781229734420776,,,,,1.8420922756195068,0.9800000190734863,,,,,,10000,,,,,8136000,400000,,,,,
0.5932045578956604,,,,,1.831127405166626,0.9700000286102295,,,,,,114000,,,,,7491000,220000,,,,,
0.5831500887870789,,,,,1.8091976642608643,1.059999942779541,,,,,,50000,,,,,3546000,3116000,,,,,
0.5781229734420776,,,,,1.831127405166626,1.090000033378601,,,,,,150000,,,,,5802000,2660000,,,,,
0.5831500887870789,,,,,1.8640214204788208,1.0800000429153442,,,,,,38900,,,,,11409000,2336000,,,,,
0.5831500887870789,,,,,1.8859509229660034,1.1200000047683716,,,,,,0,,,,,18045807,3154000,,,,,
0.5781229734420776,,,,,1.9517401456832886,1.1200000047683716,,,,,,124200,,,,,22683000,766000,,,,,
0.5781229734420776,,,,,1.8420922756195068,1.0800000429153442,,,,,,284600,,,,,26409000,1872000,,,,,
0.5831500887870789,,,,,1.7982326745986938,1.100000023841858,,,,,,132800,,,,,16676391,316000,,,,,
0.5831500887870789,,,,,1.7872674465179443,1.0499999523162842,,,,,,94000,,,,,24222000,688000,,,,,
0.5730958580970764,,,,,1.7653378248214722,1.059999942779541,,,,,,24000,,,,,5688000,772000,,,,,
0.5730958580970764,,,,,1.7982326745986938,1.0800000429153442,,,,,,0,,,,,6906000,1006000,,,,,
0.5730958580970764,,,,,1.8420922756195068,1.090000033378601,,,,,,0,,,,,8473800,1394847,,,,,
0.5730958580970764,,,,,1.7982326745986938,1.190000057220459,,,,,,8000,,,,,5640000,8406000,,,,,
