Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0100.HK,0205.HK,0550.HK,0623.HK,0888.HK,1000.HK,8243.HK,8292.HK,0100.HK,0205.HK,0550.HK,0623.HK,0888.HK,1000.HK,8243.HK,8292.HK
,8.0,0.0875983014702797,,0.4584103524684906,13.03172492980957,,,,57900,3645,,784000,311500,,
,8.0,0.0875983014702797,,0.4584103524684906,13.002174377441406,,,,32100,12760,,1156000,680500,,
,8.0,0.08662497997283936,,0.4527508318424225,12.765771865844727,,,,6400,43748,,1064000,623500,,
,8.0,0.08662497997283936,,0.4527508318424225,12.647568702697754,,,,35700,32811,,466000,544000,,
,7.900000095367432,0.08662497997283936,,0.44143208861351013,12.499817848205566,,,,59100,0,,1026000,1071500,,
,8.0,0.08662497997283936,,0.44143208861351013,12.322514533996582,,,,14100,0,,302000,281000,,
,7.800000190734863,0.08662497997283936,,0.43577277660369873,11.938360214233398,,,,17200,0,,442000,456500,,
,7.599999904632568,0.08662497997283936,,0.43577277660369873,11.583757400512695,,,,17900,0,,314000,593500,,
,7.800000190734863,0.08662497997283936,,0.4301133453845978,11.908809661865234,,,,11000,0,,592000,311500,,
,7.800000190734863,0.08662497997283936,,0.4244539737701416,11.583757400512695,,,,4800,0,,1226000,914000,,
,7.800000190734863,0.08565162122249603,,0.44143208861351013,11.761058807373047,,,,0,196870,,568000,237500,,
,8.0,0.08370492607355118,,0.44143208861351013,12.174763679504395,,,,38900,65623,,228000,302500,,
,8.0,0.08370492607355118,,0.44143208861351013,12.086113929748535,,,,24500,43748,,30000,105500,,
,8.0,0.08370492607355118,,0.4527508318424225,11.820158958435059,,,,200,48306,,9248000,110500,,
,8.199999809265137,0.08370492607355118,,0.44143208861351013,11.761058807373047,,,,22700,35545,,1044000,130500,,
,8.0,0.08565162122249603,,0.43577277660369873,11.701956748962402,,,,15800,41926,,233666,66500,,
,7.900000095367432,0.08565162122249603,,0.44143208861351013,11.938360214233398,,,,79400,65623,,278000,104500,,
,7.699999809265137,0.08565162122249603,,0.43577277660369873,11.967911720275879,,,,62200,10937,,360000,122000,,
,7.900000095367432,0.0875983014702797,,0.4470915198326111,12.174763679504395,,,,600,62369,,1118000,326500,,
,8.0,0.0875983014702797,,0.4527508318424225,12.233865737915039,,,,57400,21874,,356000,207500,,
,7.699999809265137,0.0875983014702797,,0.4584103524684906,12.736221313476562,,,,10500,54686,,544000,449500,,
,8.0,0.08370492607355118,,0.4640696048736572,12.765771865844727,,,,28200,29165,,1602000,753000,,
,8.0,0.08370492607355118,,0.4584103524684906,12.972625732421875,,,,37500,0,,614000,499000,,
,8.199999809265137,0.08370492607355118,,0.4640696048736572,13.356779098510742,,,,26200,0,,716000,725000,,
,7.900000095367432,0.08370492607355118,,0.4584103524684906,13.268128395080566,,,,2600,0,,638000,213000,,
,7.900000095367432,0.09733135998249054,,0.4640696048736572,13.268128395080566,,,,0,352725,,160000,121500,,
,7.900000095367432,0.12458425015211105,,0.4584103524684906,13.268128395080566,,,,0,226036,,20000,80000,,
,7.900000095367432,0.13237060606479645,,0.4640696048736572,13.23857593536377,,,,0,1134737,,744000,106000,,
,7.599999904632568,0.14210405945777893,,0.49236661195755005,13.002174377441406,,,,151000,1133825,,1118000,300000,,
,7.800000190734863,0.14210405945777893,,0.4810478389263153,12.972625732421875,,,,27000,11848,,834000,172000,,
,7.400000095367432,0.1343172937631607,,0.4810478389263153,13.03172492980957,,,,224000,204161,,804833,163500,,
,7.800000190734863,0.1343172937631607,,0.4810478389263153,12.972625732421875,,,,15200,61066,,496000,353000,,
,8.0,0.1459970623254776,,0.4810478389263153,12.824872016906738,,,,79100,174995,,454000,28500,,
,7.900000095367432,0.1459970623254776,,0.4810478389263153,12.91352367401123,,,,14000,11848,,1110000,137500,,
,7.900000095367432,0.1459970623254776,,0.48670727014541626,12.79532241821289,,,,17500,17317,,1260000,26500,,
,7.800000190734863,0.13042429089546204,,0.4810478389263153,12.67712116241455,,,,6500,43748,,378000,96500,,
,7.800000190734863,0.13626401126384735,,0.4980259835720062,12.91352367401123,,,,15100,83852,,5154938,136500,,
,7.800000190734863,0.1459970623254776,,0.5150042176246643,13.002174377441406,,,,24000,120309,,2514000,171000,,
,7.800000190734863,0.1459970623254776,,0.5433011054992676,12.824872016906738,,,,9000,251556,,3162200,111000,,
,8.100000381469727,0.14015735685825348,,0.5263229012489319,12.588469505310059,,,,208364,80765,,3723207,106500,,
,8.0,0.14015735685825348,,0.5263229012489319,12.29296588897705,,,,304500,0,,1026000,101000,,
,8.899999618530273,0.1459970623254776,,0.5206635594367981,11.938360214233398,,,,1483900,32811,,1998000,346500,,
,8.199999809265137,0.15962353348731995,,0.5319823026657104,12.174763679504395,,,,455900,306242,,1262000,121000,,
,8.399999618530273,0.19660978019237518,,0.5263229012489319,12.352065086364746,,,,75500,627588,,632000,192500,,
,8.300000190734863,0.25695526599884033,,0.5602793097496033,12.204315185546875,,,,129600,1143860,,2397666,156500,,
,7.900000095367432,0.29199448227882385,,0.5602793097496033,12.027009963989258,,,,178500,1096821,,2989000,183500,,
,7.800000190734863,0.2608485817909241,,0.5489604473114014,11.99746036529541,,,,21100,1042073,,2384440,64000,,
,7.900000095367432,0.2705816626548767,,0.5546197891235352,11.87925910949707,,,,81000,186844,,2498857,84000,,
,7.800000190734863,0.2608485817909241,,0.5150042176246643,11.820158958435059,,,,53000,471212,,6135842,173500,,
