Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume
0003.HK,1083.HK,2688.HK,8035.HK,0003.HK,1083.HK,2688.HK,8035.HK
2.3354406356811523,2.729151725769043,3.496429443359375,,3591837,147000,286000,
2.2775959968566895,2.789353847503662,3.597482442855835,,48161372,173000,34000,
2.2197530269622803,2.6890172958374023,3.597482442855835,,57587863,581000,280000,
2.2486748695373535,2.668950080871582,3.557060956954956,,31884800,94000,284000,
2.2342138290405273,2.7090845108032227,3.5166399478912354,,40363306,995240,216000,
2.2703661918640137,2.729151725769043,3.4155871868133545,,38890780,544000,267300,
2.2631359100341797,2.7090845108032227,3.4155871868133545,,35206928,611000,164000,
2.3065185546875,2.6890172958374023,3.3145346641540527,,24195572,580000,1418000,
2.2775959968566895,2.7492189407348633,3.274113655090332,,17021206,3171000,1144000,
2.2631359100341797,2.7492189407348633,3.2134816646575928,,36063027,904000,700000,
2.292057514190674,2.729151725769043,3.3145346641540527,,13771564,636200,2018000,
2.284827470779419,2.729151725769043,3.4762187004089355,,14988373,2350000,1378000,
2.284827470779419,2.789353847503662,3.3953769207000732,,17715925,2397000,4716000,
2.2486748695373535,2.789353847503662,3.4155871868133545,,26827147,713000,494000,
2.2486748695373535,2.769286870956421,3.4762187004089355,,18385056,460000,2548000,
2.2414438724517822,2.789353847503662,3.6176934242248535,,16766195,670000,1954465,
2.2559049129486084,2.789353847503662,3.536850929260254,,27257111,400000,1346000,
2.2775959968566895,2.789353847503662,3.557060956954956,,22879108,520400,1688000,
2.2775959968566895,2.789353847503662,3.597482442855835,,20746849,482000,2658000,
2.3065185546875,2.789353847503662,3.6176934242248535,,13379128,559000,1372000,
2.3426711559295654,2.789353847503662,3.6379034519195557,,30147119,365000,450000,
2.2992875576019287,2.7492189407348633,3.6379034519195557,,28382698,553000,528000,
2.292057514190674,2.729151725769043,3.698535203933716,,24390577,1036200,1954000,
2.2703661918640137,2.7492189407348633,3.6783249378204346,,12169422,592000,1126000,
2.2775959968566895,2.7090845108032227,3.6379034519195557,,23826730,385000,1786000,
2.3137495517730713,2.729151725769043,3.698535203933716,,24038306,552544,1288000,
2.328209638595581,2.729151725769043,3.698535203933716,,9925073,365000,4000,
2.3354406356811523,2.7090845108032227,3.496429443359375,,23674766,310000,365400,
2.3499016761779785,2.7090845108032227,3.557060956954956,,19937815,486000,693167,
2.357131004333496,2.729151725769043,3.6176934242248535,,19215944,626000,436000,
2.328209638595581,2.6890172958374023,3.6581149101257324,,18469251,620000,1622000,
2.3860530853271484,2.6890172958374023,3.6379034519195557,,12440602,550000,180000,
2.3788232803344727,2.6890172958374023,3.6783249378204346,,12960239,174000,436000,
2.3788232803344727,2.6488823890686035,3.6581149101257324,,14752604,555000,280000,
2.357131004333496,2.6288156509399414,3.6581149101257324,,12610909,747000,126000,
2.3788232803344727,2.5284786224365234,3.6176934242248535,,12434076,601000,1238000,
2.3932836055755615,2.5886805057525635,3.5772719383239746,,21818610,1257000,2106000,
2.3932836055755615,2.5886805057525635,3.496429443359375,,16562474,862000,3630000,
2.357131004333496,2.5886805057525635,3.496429443359375,,18483008,15601000,1948000,
2.3426711559295654,2.5686137676239014,3.4762187004089355,,20843705,1242000,2035000,
2.320979118347168,2.6488823890686035,3.456008195877075,,14355974,452000,794000,
2.3137495517730713,2.6488823890686035,3.5166399478912354,,19473346,3692000,3490000,
2.320979118347168,2.6488823890686035,3.496429443359375,,9307943,369000,2272000,
2.328209638595581,2.6488823890686035,3.4762187004089355,,8437810,427840,3072000,
2.328209638595581,2.6488823890686035,3.456008195877075,,12882743,617000,2872000,
2.3065185546875,2.6488823890686035,3.4762187004089355,,28150669,1250000,3136000,
2.3137495517730713,2.6288156509399414,3.4762187004089355,,23441183,1156000,1992000,
2.3065185546875,2.608747959136963,3.496429443359375,,12812475,116000,1646000,
2.292057514190674,2.608747959136963,3.496429443359375,,20238959,601600,22243500,
2.3137495517730713,2.6488823890686035,3.4762187004089355,,11827601,875000,1786000,
2.2775959968566895,2.6488823890686035,3.456008195877075,,21668195,811000,495300,
2.2775959968566895,2.6288156509399414,3.435798406600952,,24270055,580000,298000,
2.292057514190674,2.6288156509399414,3.4762187004089355,,6833607,368000,5460000,
2.2775959968566895,2.6288156509399414,3.4155871868133545,,15320555,368000,526000,
2.2631359100341797,2.608747959136963,3.3549561500549316,,21857415,868000,1069000,
2.2703661918640137,2.608747959136963,3.3549561500549316,,10681060,825000,826000,
2.2197530269622803,2.6288156509399414,3.334744691848755,,39136057,168000,608000,
2.205291509628296,2.6488823890686035,3.375166654586792,,24086789,335000,536000,
2.2197530269622803,2.6288156509399414,3.3953769207000732,,25688291,332000,644000,
2.2269842624664307,2.6488823890686035,3.3549561500549316,,23528399,215000,258000,
2.2414438724517822,2.6488823890686035,3.3549561500549316,,12639299,0,1294000,
2.2197530269622803,2.6488823890686035,3.2943241596221924,,33197662,0,930000,
2.2414438724517822,2.6488823890686035,3.2943241596221924,,12338712,0,904000,
2.2631359100341797,2.5886805057525635,3.334744691848755,,17777577,349720,194000,
2.2559049129486084,2.5886805057525635,3.274113655090332,,14686530,699216,344000,
2.2631359100341797,2.5686137676239014,3.233691930770874,,6500318,581000,696000,
2.2703661918640137,2.5686137676239014,3.2134816646575928,,18761797,226240,1832000,
2.2559049129486084,2.5686137676239014,3.2943241596221924,,43238504,256000,1014000,
2.2342138290405273,2.5686137676239014,3.3953769207000732,,41409396,240000,660000,
2.294562578201294,2.428142786026001,3.375166654586792,,42472534,377000,544000,
