Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0198.HK,0200.HK,0326.HK,0343.HK,0391.HK,0419.HK,0491.HK,0571.HK,0585.HK,0630.HK,0959.HK,1009.HK,1046.HK,1060.HK,1070.HK,1105.HK,1132.HK,2358.HK,2366.HK,2383.HK,8078.HK,8130.HK,8167.HK,8173.HK,8220.HK,8228.HK,0198.HK,0200.HK,0326.HK,0343.HK,0391.HK,0419.HK,0491.HK,0571.HK,0585.HK,0630.HK,0959.HK,1009.HK,1046.HK,1060.HK,1070.HK,1105.HK,1132.HK,2358.HK,2366.HK,2383.HK,8078.HK,8130.HK,8167.HK,8173.HK,8220.HK,8228.HK
,9.296692848205566,591.848388671875,3.751533031463623,0.06530269980430603,0.7093080282211304,,,,26.791112899780273,5598.205078125,,1.51015305519104,0.4099999964237213,11.990265846252441,,1.2044529914855957,1.1547521352767944,,1.4500000476837158,,,144.1519775390625,4398.14794921875,16.0,,,12694000,6715,20849339,40000,0,,,,7721,43230,,4537,18400,431159,,3400,550000,,1982000,,,1306620,0,0,
,8.96296501159668,685.2981567382812,3.707397937774658,0.059705331921577454,0.7093080282211304,,,,25.813335418701172,5398.26953125,,1.5568588972091675,0.38999998569488525,11.990265846252441,,1.2044529914855957,1.1547521352767944,,1.4500000476837158,,,157.71923828125,4398.14794921875,16.0,,,8524904,12284,11711609,3742500,0,,,,9506,20895,,6083,1211240,348423,,0,0,,4556000,,,1694580,0,0,
,8.4385347366333,654.1482543945312,3.5308549404144287,0.06903428584337234,0.7093080282211304,,,,27.768890380859375,5148.349609375,,1.7903878688812256,0.4099999964237213,11.664605140686035,,1.2044529914855957,1.1449660062789917,,1.3899999856948853,,,144.1519775390625,4398.14794921875,16.0,,,14406104,10183,23423219,1030000,0,,,,4847,30973,,1392959,250000,462923,,0,602000,,4946000,,,687165,0,0,
,8.390861511230469,641.688232421875,3.5749900341033936,0.06530269980430603,0.7093080282211304,,,,29.724445343017578,5498.2373046875,,1.370036005973816,0.4099999964237213,11.990265846252441,,1.158128023147583,1.2134684324264526,,1.3799999952316284,,,140.7601776123047,4398.14794921875,16.0,,,9073880,4911,17281050,186845,0,,,,16742,43144,,836683,0,336850,,30000,1378000,,2658000,,,1487790,0,0,
,7.651892185211182,492.168701171875,3.4425830841064453,0.06343691051006317,0.7093080282211304,,,,27.964445114135742,4798.46142578125,,1.1209381818771362,0.4099999964237213,11.546182632446289,,1.158128023147583,1.2134684324264526,,1.3600000143051147,,,118.7134017944336,4398.14794921875,16.0,,,21940912,8396,31611604,70000,0,,,,5727,55647,,232038,36000,770225,,0,6900000,,4168000,,,1174860,0,0,
,7.628056526184082,504.6286315917969,3.3984479904174805,0.06716848909854889,0.7093080282211304,,,,27.964445114135742,4548.5419921875,,1.2610554695129395,0.4099999964237213,11.250127792358398,,1.158128023147583,1.2428264617919922,,1.3700000047683716,,,133.97654724121094,4398.14794921875,16.0,,,12626000,3379,21014738,10000,0,,,,0,26860,,175140,0,2215630,,0,6874000,,1074000,,,1082445,0,0,
,7.151301383972168,448.5588073730469,3.310175895690918,0.059705331921577454,0.7093080282211304,,,,26.595556259155273,3158.9873046875,,1.1365070343017578,0.4000000059604645,10.954070091247559,,1.1257004737854004,1.233040452003479,,1.340000033378601,,,128.8888397216797,4398.14794921875,16.0,,,12025748,2305,25471448,575000,0,,,,3323,53997,,106173,213000,1648549,,11000,184000,,1650000,,,1110810,0,0,
,6.936763286590576,454.7887268066406,3.310175895690918,0.06530269980430603,0.7093080282211304,,,,25.813335418701172,3358.923095703125,,1.1987814903259277,0.4000000059604645,10.539592742919922,,1.1257004737854004,1.2232543230056763,,1.3300000429153442,,,123.8011245727539,4398.14794921875,16.0,,,22909256,2037,27220599,172000,0,,,,1840,104121,,67424,64000,1047623,,0,670000,,2550000,,,736575,0,0,
,7.270489692687988,498.3986511230469,3.2660410404205322,0.059705331921577454,0.7093080282211304,,,,26.98666763305664,3998.718017578125,,1.245487093925476,0.41999998688697815,9.888269424438477,,1.2044529914855957,1.20368230342865,,1.350000023841858,,,132.28065490722656,4398.14794921875,16.0,,,19374150,4306,21288892,60000,0,,,,2092,147723,,225142,100000,3497781,,20000,100000,,2522000,,,245220,12,0,
,7.580379486083984,467.248779296875,3.354311943054199,0.06716848909854889,0.7093080282211304,,,,28.55111312866211,3998.718017578125,,1.3544671535491943,0.42500001192092896,10.006691932678223,,1.2044529914855957,1.1938962936401367,,1.340000033378601,,,127.19293212890625,4398.14794921875,16.0,,,21791000,3741,62731542,105000,0,,,,11576,0,,448015,134000,1821653,,10000,40000,,1540000,,,251625,0,0,
