Adj Close,Volume
44.150718688964844,4162613
41.73622512817383,2478816
45.8753547668457,3412450
42.081153869628906,941084
34.837677001953125,1221769
35.527530670166016,546265
31.388402938842773,414176
32.0782585144043,387368
33.45796585083008,343086
32.76811218261719,502659
33.802894592285156,144505
32.76811218261719,91903
33.113037109375,100287
33.113037109375,87021
32.42318344116211,85612
30.69854736328125,87316
31.73332977294922,53930
30.353618621826172,76787
30.008691787719727,81941
30.69854736328125,37735
30.353618621826172,22494
29.66376495361328,54405
30.008691787719727,36297
30.008691787719727,13707
30.008691787719727,21192
30.69854736328125,25419
31.388402938842773,52254
31.043474197387695,46827
31.043474197387695,70791
31.043474197387695,59989
31.388402938842773,31589
31.043474197387695,33212
31.043474197387695,32719
30.69854736328125,18322
30.353618621826172,32018
30.69854736328125,15556
30.353618621826172,25176
30.69854736328125,26388
30.69854736328125,14820
30.353618621826172,19841
30.008691787719727,12690
29.66376495361328,29606
29.66376495361328,19714
30.008691787719727,10518
29.66376495361328,20010
29.66376495361328,17099
30.353618621826172,25843
31.73332977294922,173575
30.69854736328125,56226
30.69854736328125,23715
30.353618621826172,18456
29.66376495361328,81292
29.66376495361328,47714
29.318836212158203,28243
28.973909378051758,51976
28.628982543945312,35172
28.284053802490234,19760
28.284053802490234,18166
28.973909378051758,64065
27.93912696838379,37671
28.284053802490234,26788
28.628982543945312,12808
28.973909378051758,58110
29.66376495361328,284288
28.973909378051758,61798
28.973909378051758,56110
28.284053802490234,20033
28.628982543945312,22230
28.284053802490234,22219
27.59419822692871,27223
27.93912696838379,26863
27.249271392822266,45992
27.249271392822266,59119
26.90434455871582,34975
27.249271392822266,35880
27.249271392822266,41115
27.249271392822266,34778
26.559417724609375,14756
26.559417724609375,101725
26.559417724609375,19533
26.214488983154297,70658
25.86956214904785,35995
26.90434455871582,133720
26.559417724609375,33096
26.214488983154297,7740
29.318836212158203,529404
27.59419822692871,201819
27.249271392822266,75488
26.214488983154297,38442
26.90434455871582,35474
26.214488983154297,26156
26.559417724609375,13805
26.559417724609375,105888
26.559417724609375,21169
26.214488983154297,17887
26.214488983154297,14263
27.249271392822266,118795
26.559417724609375,24352
26.90434455871582,17168
26.559417724609375,36662
26.559417724609375,37209
26.559417724609375,14072
26.214488983154297,7468
26.214488983154297,7543
27.249271392822266,97052
27.59419822692871,283821
27.249271392822266,64425
26.90434455871582,38674
26.90434455871582,11764
27.59419822692871,17070
27.59419822692871,45644
27.93912696838379,74478
26.90434455871582,29907
26.90434455871582,8535
27.59419822692871,33740
27.249271392822266,25663
26.90434455871582,24051
27.249271392822266,36326
26.90434455871582,87896
26.90434455871582,48079
26.559417724609375,24637
26.559417724609375,17974
26.90434455871582,25303
27.249271392822266,76798
26.559417724609375,40350
25.86956214904785,67677
25.86956214904785,21256
25.524633407592773,19204
25.86956214904785,29745
25.86956214904785,34598
25.86956214904785,12878
25.524633407592773,13370
25.524633407592773,9364
25.86956214904785,17661
25.524633407592773,13457
25.86956214904785,31316
25.524633407592773,26631
25.179706573486328,31073
22.075359344482422,173079
19.66086769104004,154194
21.040576934814453,68727
20.695648193359375,19262
20.695648193359375,51564
20.695648193359375,12333
22.765214920043945,129383
22.765214920043945,146239
22.075359344482422,45058
21.730432510375977,61456
22.075359344482422,18015
21.730432510375977,42600
22.075359344482422,16658
23.11014175415039,163338
23.11014175415039,22909
23.11014175415039,17389
22.075359344482422,38732
21.3855037689209,28347
22.075359344482422,12611
21.730432510375977,16791
21.3855037689209,7027
