Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume
0038.HK,0317.HK,0631.HK,0840.HK,1157.HK,0038.HK,0317.HK,0631.HK,0840.HK,1157.HK
0.9071174263954163,1.0389862060546875,,,,1670000,943800,,,
0.8741310834884644,1.0389862060546875,,,,1070000,936000,,,
0.8493916392326355,0.9801763296127319,,,,1854000,1513200,,,
0.8576380610466003,0.967106819152832,,,,754000,2054000,,,
0.8493916392326355,1.0716590881347656,,,,2442000,6167200,,,
0.8576380610466003,1.1696768999099731,,,,666000,16621800,,,
0.8328986167907715,1.1239346265792847,,,,1225000,8322600,,,
0.8328986167907715,1.1239346265792847,,,,1134000,3692000,,,
0.8493916392326355,1.355909824371338,,,,1380000,28449200,,,
0.8246521353721619,1.372246265411377,,,,3072000,35768200,,,
0.8906242251396179,1.3069013357162476,,,,24550000,9809800,,,
0.8576380610466003,1.372246265411377,,,,21064000,10527400,,,
0.8493916392326355,1.3232378959655762,,,,4828000,9360000,,,
0.8411451578140259,1.372246265411377,,,,3856000,11323000,,,
0.8328986167907715,1.3232378959655762,,,,5156000,6253000,,,
0.9813360571861267,1.2742294073104858,,,,73214212,6739200,,,
0.9565962553024292,1.3003672361373901,,,,18914000,5956600,,,
1.01432204246521,1.3232378959655762,,,,31632000,5093400,,,
0.9978291392326355,1.3232378959655762,,,,16040000,7456800,,,
0.9648429751396179,1.3232378959655762,,,,7372000,3135600,,,
1.0225688219070435,1.372246265411377,,,,14488000,5894200,,,
0.9813360571861267,1.3069013357162476,,,,11124000,5184400,,,
0.9730892181396484,1.3232378959655762,,,,8644000,2722200,,,
0.9730892181396484,1.3069013357162476,,,,6054000,1060800,,,
0.9730892181396484,1.3003672361373901,,,,2570000,1352000,,,
1.0060755014419556,1.355909824371338,,,,9447000,1661400,,,
1.0060755014419556,1.3395744562149048,,,,2200000,678600,,,
0.9978291392326355,1.3232378959655762,,,,5812000,938600,,,
0.9978291392326355,1.2938320636749268,,,,4054000,1432600,,,
1.01432204246521,1.2938320636749268,,,,15234000,1593800,,,
1.01432204246521,1.2872978448867798,,,,3420000,1661400,,,
1.0308150053024292,1.3232378959655762,,,,7000000,1729000,,,
1.0720475912094116,1.2938320636749268,,,,18989084,499200,,,
1.0720475912094116,1.2872978448867798,,,,25576000,1471273,,,
1.1215267181396484,1.3069013357162476,,,,25223000,3190200,,,
1.1297733783721924,1.3069013357162476,,,,14312000,621400,,,
1.1132804155349731,1.18928062915802,,,,15580000,11302200,,,
1.1545131206512451,1.084728479385376,,,,20854000,13340600,,,
1.1874990463256836,1.1174005270004272,,,,19246000,7714200,,,
1.1297733783721924,1.0716590881347656,,,,19536000,3062800,,,
1.1627593040466309,1.0716590881347656,,,,17456000,2857400,,,
1.1132804155349731,1.0651249885559082,,,,13798000,2069600,,,
1.1462663412094116,1.0585898160934448,,,,18725000,1128400,,,
1.3606759309768677,1.0520555973052979,,,,79170000,8192600,,,
1.410154938697815,1.130469799041748,,,,66017000,11832600,,,
1.3771690130233765,1.1108661890029907,,,,43728000,6393400,,,
1.3771690130233765,1.1043318510055542,,,,17100000,1060800,,,
1.4348944425582886,1.084728479385376,,,,32986000,2155400,,,
1.3854154348373413,1.1174005270004272,,,,62488000,5252000,,,
1.4513875246047974,1.1108661890029907,,,,17908000,499200,,,
1.4843738079071045,1.0912628173828125,,,,26576000,717600,,,
1.4266481399536133,1.084728479385376,,,,12384000,1242800,,,
1.3524293899536133,1.0585898160934448,,,,14844000,1206400,,,
1.195745587348938,1.0455212593078613,,,,44646000,1851200,,,
1.228731632232666,1.0716590881347656,,,,22436000,1957800,,,
1.2122386693954468,1.0716590881347656,,,,7160000,462800,,,
1.1874990463256836,1.0585898160934448,,,,3076000,748800,,,
1.1380199193954468,1.0585898160934448,,,,8138000,670800,,,
1.1627593040466309,1.0781933069229126,,,,6992000,730600,,,
1.203992247581482,1.156607747077942,,,,4968000,8938800,,,
1.2369780540466309,1.470264196395874,,,,6678000,26644800,,,
1.2699642181396484,1.4049193859100342,,,,10980000,7923500,,,
1.2534712553024292,1.4212549924850464,,,,4960000,7781800,,,
1.2782106399536133,1.372246265411377,,,,5774000,4297800,,,
1.261717438697815,1.355909824371338,,,,2530000,5686200,,,
1.228731632232666,1.3395744562149048,,,,2166000,4214600,,,
1.2369780540466309,1.355909824371338,,,,4676000,3767400,,,
1.203992247581482,1.355909824371338,,,,4578000,1565200,,,
1.203992247581482,1.3232378959655762,,,,4210000,1930500,,,
1.1462663412094116,1.2807636260986328,,,,3882000,5400200,,,
1.1545131206512451,1.2415562868118286,,,,3786000,3003000,,,
1.0720475912094116,1.2350220680236816,,,,8062000,1469000,,,
1.0555545091629028,1.2872978448867798,,,,9508000,1814800,,,
1.0555545091629028,1.3885828256607056,,,,5088000,5233800,,,
1.0390616655349731,1.3232378959655762,,,,3298000,2579200,,,
0.9565962553024292,1.3395744562149048,,,,17564000,787800,,,
0.9565962553024292,1.3395744562149048,,,,5036000,977600,,,
1.0473082065582275,1.3069013357162476,,,,12248000,720200,,,
1.0390616655349731,1.2938320636749268,,,,10444000,1105000,,,
1.0225688219070435,1.267694115638733,,,,3518000,842400,,,
1.0390616655349731,1.2938320636749268,,,,5812000,377000,,,
1.0473082065582275,1.2872978448867798,,,,2270000,496600,,,
1.0390616655349731,1.2807636260986328,,,,4002000,488800,,,
1.0225688219070435,1.2807636260986328,,,,1092000,309400,,,
1.01432204246521,1.2807636260986328,,,,2430000,163800,,,
