Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0121.HK,0162.HK,0244.HK,0245.HK,0289.HK,0312.HK,0825.HK,0848.HK,0980.HK,0984.HK,0996.HK,1212.HK,1700.HK,1833.HK,3308.HK,3368.HK,8052.HK,8277.HK,0121.HK,0162.HK,0244.HK,0245.HK,0289.HK,0312.HK,0825.HK,0848.HK,0980.HK,0984.HK,0996.HK,1212.HK,1700.HK,1833.HK,3308.HK,3368.HK,8052.HK,8277.HK
,1.7938212156295776,0.377937376499176,0.6860870122909546,4.345844268798828,0.33216238021850586,,,4.068935394287109,4.147814750671387,,,,,,,,,,0,125102,550377,76000,22210000.0,,,261000,6000,,,,,,,,
,1.7938212156295776,0.377937376499176,0.6466000080108643,4.409753322601318,0.3278486430644989,,,3.9823617935180664,4.147814750671387,,,,,,,,,,0,107847,58449,304000,20000000.0,,,1004400,112000,,,,,,,,
,2.9388134479522705,0.35621678829193115,0.6416640281677246,4.324542045593262,0.28039684891700745,,,3.8308582305908203,4.09843635559082,,,,,,,,,,8339387,119710,136348,399000,21104000.0,,,903600,34000,,,,,,,,
,2.4808168411254883,0.37359344959259033,0.6515359878540039,4.28193473815918,0.30627965927124023,,,3.8957889080047607,4.1971940994262695,,,,,,,,,,3263732,43138,72327,137000,28778000.0,,,590400,364000,,,,,,,,
,1.7365716695785522,0.36924952268600464,0.6416640281677246,4.303238391876221,0.2588278651237488,,,3.8308582305908203,4.320640563964844,,,,,,,,,,2404719,60394,72327,263000,20428000.0,,,558000,204000,,,,,,,,
,1.6793222427368164,0.36924952268600464,0.6021770238876343,4.324542045593262,0.24157267808914185,,,3.8092145919799805,4.320640563964844,,,,,,,,,,896159,0,21921,158000,11750000.0,,,126000,0,,,,,,,,
,1.3930737972259521,0.36056163907051086,0.6021770238876343,4.28193473815918,0.2131015807390213,,,3.7659285068511963,4.320640563964844,,,,,,,,,,350312,180104,55714,126000,17459000.0,,,1738800,0,,,,,,,,
,1.583905816078186,0.3475289046764374,0.5923050045967102,4.324542045593262,0.1932581663131714,,,3.8308582305908203,4.295949935913086,,,,,,,,,,191407,32354,44571,295042,16230000.0,,,358200,126000,,,,,,,,
,1.5266562700271606,0.35187283158302307,0.6021770238876343,4.303238391876221,0.19153264164924622,,,4.025648593902588,4.320640563964844,,,,,,,,,,400872,0,4457,59000,14808000.0,,,464400,808000,,,,,,,,
,1.5266562700271606,0.35621678829193115,0.5923050045967102,4.324542045593262,0.2131015807390213,,,3.9823617935180664,4.839118003845215,,,,,,,,,,316777,323541,16005,112000,18556000.0,,,707400,252000,,,,,,,,
,1.488490343093872,0.35621678829193115,0.5923050045967102,4.345844268798828,0.2053367793560028,,,3.939074993133545,4.690981864929199,,,,,,,,,,333286,0,43558,103000,3820000.0,,,1162800,42000,,,,,,,,
,1.4694067239761353,0.35621678829193115,0.5923050045967102,4.431057929992676,0.2053367793560028,,,3.852501392364502,4.641602516174316,,,,,,,,,,280662,64708,0,317000,3156000.0,,,1317600,24000,,,,,,,,
,1.488490343093872,0.35621678829193115,0.5923050045967102,4.388451099395752,0.20792502164840698,,,3.9823617935180664,4.715670108795166,,,,,,,,,,273955,550020,0,76000,2886000.0,,,925200,32000,,,,,,,,
,1.412157416343689,0.35187283158302307,0.5528180003166199,4.388451099395752,0.20361126959323883,,,3.9607181549072266,4.789740562438965,,,,,,,,,,137751,551098,19510,92500,2846000.0,,,868750,40000,,,,,,,,
,1.4312399625778198,0.3475289046764374,0.5972409844398499,4.388451099395752,0.19498364627361298,,,3.9174320697784424,4.666291236877441,,,,,,,,,,224426,215694,0,44000,1462000.0,,,300600,38000,,,,,,,,
,1.4503233432769775,0.3475289046764374,0.5972409844398499,4.367147922515869,0.19584643840789795,,,3.9823617935180664,4.542844295501709,,,,,,,,,,118146,0,0,7000,0.0,,,300600,28000,,,,,,,,
,1.4503233432769775,0.3475289046764374,0.5972409844398499,4.367147922515869,0.19584643840789795,,,3.852501392364502,4.493465900421143,,,,,,,,,,36630,0,0,120000,0.0,,,207000,20000,,,,,,,,
,1.3358242511749268,0.3475289046764374,0.6367279887199402,4.367147922515869,0.19584643840789795,,,4.090578079223633,4.493465900421143,,,,,,,,,,293560,107847,1418,233800,0.0,,,82800,54000,,,,,,,,
,1.2785749435424805,0.3475289046764374,0.542946994304657,4.367147922515869,0.19584643840789795,,,3.9174320697784424,4.592223167419434,,,,,,,,,,310070,323541,4051,123000,0.0,,,644400,6000,,,,,,,,
,1.3930737972259521,0.3431849479675293,0.6120489835739136,4.345844268798828,0.19584643840789795,,,3.939074993133545,4.567535400390625,,,,,,,,,,176961,107847,2836,70000,0.0,,,1609200,24000,,,,,,,,
,1.3358242511749268,0.36490556597709656,0.6515359878540039,4.388451099395752,0.19584643840789795,,,3.852501392364502,4.542844295501709,,,,,,,,,,305942,248048,202598,23000,0.0,,,442963,114000,,,,,,,,
,1.3358242511749268,0.35621678829193115,0.6515359878540039,4.388451099395752,0.19584643840789795,,,3.8092145919799805,4.493465900421143,,,,,,,,,,148585,431388,101,71000,0.0,,,826200,48000,,,,,,,,
