Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume
0175.HK,0305.HK,0693.HK,1211.HK,2333.HK,2357.HK,0175.HK,0305.HK,0693.HK,1211.HK,2333.HK,2357.HK
,,0.8453792929649353,4.5941667556762695,0.07973319292068481,0.6850925087928772,,,0,547200,2096250,4992000
,,0.8453792929649353,4.5611162185668945,0.07859422266483307,0.675957977771759,,,90000,1419300,8111250,4072000
,,0.8453792929649353,4.4289093017578125,0.07745513319969177,0.6394196152687073,,,0,2777800,5235000,13872000
,,0.8399249911308289,4.495012283325195,0.07745513319969177,0.6576889157295227,,,30000,3702180,1732500,5776000
,,0.8399249911308289,4.472978591918945,0.07745513319969177,0.6302851438522339,,,620000,1372560,3911250,8108000
,,0.8399249911308289,4.439925670623779,0.07745513319969177,0.6394196152687073,,,0,1193580,990000,2840000
,,0.8344712257385254,4.395857810974121,0.07745513319969177,0.6485540866851807,,,45000,1884800,521250,6292000
,,0.8344712257385254,4.395857810974121,0.0768856629729271,0.6485540866851807,,,0,1670100,851250,4396000
,,0.8344712257385254,4.230599403381348,0.07745513319969177,0.6576889157295227,,,3000,4400362,1376250,3348000
,,0.8344712257385254,4.417891502380371,0.07631601393222809,0.6394196152687073,,,0,1208400,735000,2340000
,,0.8344712257385254,4.373823165893555,0.0768856629729271,0.6394196152687073,,,0,1544700,1203900,3752000
,,0.8453792929649353,4.627218246459961,0.07631601393222809,0.6576889157295227,,,66000,2836700,540000,5756000
,,0.8453792929649353,4.847561836242676,0.07631601393222809,0.6576889157295227,,,153000,8861600,2940000,8388000
,,0.8399249911308289,4.902647972106934,0.0757465586066246,0.6485540866851807,,,180000,5141400,648750,10432000
,,0.8399249911308289,4.880614280700684,0.07631601393222809,0.6302851438522339,,,0,3070400,1143750,16880000
,,0.8344712257385254,4.737390518188477,0.0757465586066246,0.621150553226471,,,216000,1299600,963750,8248000
,,0.8235629200935364,4.748407363891602,0.0768856629729271,0.6394196152687073,,,99000,893000,600000,3464000
,,0.8290170431137085,4.869596004486084,0.07745513319969177,0.6394196152687073,,,15000,3191164,945000,12396000
,,0.8290170431137085,5.023837566375732,0.0768856629729271,0.6394196152687073,,,3000,4066380,1537500,3912000
,,0.8290170431137085,5.100957870483398,0.07631601393222809,0.6302851438522339,,,0,2946900,907500,6352000
,,0.8562871813774109,5.233164310455322,0.07745513319969177,0.6120160222053528,,,123000,5116700,1428750,11029332
,,0.8562871813774109,5.100957870483398,0.07631601393222809,0.6120160222053528,,,0,8251700,731250,7700000
,,0.8562871813774109,5.078922748565674,0.07460744678974152,0.621150553226471,,,0,2430100,9213750,11880000
,,0.8562871813774109,5.089940547943115,0.07232942432165146,0.621150553226471,,,9000,1894300,10005000,3692000
,,0.8562871813774109,5.067905902862549,0.07175994664430618,0.621150553226471,,,0,5202200,9405000,2732000
,,0.8617414832115173,5.078922748565674,0.07346854358911514,0.6394196152687073,,,15000,4843548,10912500,15888000
,,0.8617414832115173,5.134008884429932,0.07346854358911514,0.6394196152687073,,,0,849300,4458750,6812000
,,0.8562871813774109,5.28825044631958,0.07403798401355743,0.6394196152687073,,,15000,4738600,6206250,7552000
,,0.8562871813774109,5.332319259643555,0.07346854358911514,0.6394196152687073,,,0,2415842,4740000,7723000
,,0.8508331775665283,5.420456886291504,0.07403798401355743,0.6302851438522339,,,15000,2709400,12573750,9140000
,,0.8562871813774109,5.464524745941162,0.07403798401355743,0.6485540866851807,,,0,6897000,16968750,33478200
,,0.8562871813774109,5.464524745941162,0.0757465586066246,0.6485540866851807,,,0,5217400,23538750,10665000
,,0.8562871813774109,5.28825044631958,0.07346854358911514,0.6668233871459961,,,0,4987500,17321250,7080000
,,0.8453792929649353,5.122992038726807,0.07403798401355743,0.6485540866851807,,,120000,3733500,8313750,7675000
,,0.8508331775665283,4.968750953674316,0.07517710328102112,0.6668233871459961,,,0,4850700,18956250,18680000
,,0.8508331775665283,5.078922748565674,0.07631601393222809,0.6850925087928772,,,3000,1341400,22320000,17784000
,,0.8617414832115173,5.089940547943115,0.0757465586066246,0.675957977771759,,,9000,4233200,15127500,13732000
,,0.8562871813774109,5.277231693267822,0.0757465586066246,0.6850925087928772,,,198000,3357300,4747500,11656000
,,0.8671955466270447,5.222146034240723,0.07403798401355743,0.6850925087928772,,,404503,1708100,10421250,5872000
,,0.8617414832115173,5.310284614562988,0.07175994664430618,0.6576889157295227,,,240000,3218220,18448747,10036000
,,0.8562871813774109,5.255198001861572,0.07175994664430618,0.6668233871459961,,,327000,1345200,21753750,7140000
,,0.8508331775665283,5.134008884429932,0.0694817528128624,0.6576889157295227,,,228000,2297100,23619750,11688000
,,0.8508331775665283,5.255198001861572,0.07175994664430618,0.6576889157295227,,,258000,7107900,26938260,3948000
,,0.8453792929649353,5.354351997375488,0.07289888709783554,0.6576889157295227,,,151000,7546800,6783750,4668000
,,0.8453792929649353,5.5085930824279785,0.07403798401355743,0.6485540866851807,,,105000,5909000,14947500,8084000
,,0.8453792929649353,5.552660942077637,0.07403798401355743,0.6485540866851807,,,108000,7318420,18323175,4072000
,,0.8453792929649353,5.442490100860596,0.07517710328102112,0.6668233871459961,,,639000,1915922,11392500,4280000
,,0.8453792929649353,5.409438610076904,0.07460744678974152,0.6668233871459961,,,0,427500,9262500,4400000
,,0.8344712257385254,5.222146034240723,0.07460744678974152,0.675957977771759,,,299000,1343300,7125000,16404000
,,0.8290170431137085,5.28825044631958,0.07403798401355743,0.6576889157295227,,,51000,1259700,6161250,5776000
