Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0019.HK,0025.HK,0043.HK,0053.HK,0055.HK,0087.HK,0091.HK,0114.HK,0142.HK,0174.HK,0242.HK,0247.HK,0252.HK,0260.HK,0270.HK,0291.HK,0383.HK,0392.HK,0459.HK,0508.HK,0656.HK,0659.HK,0662.HK,0701.HK,0715.HK,1026.HK,1191.HK,1193.HK,1196.HK,165-OL.HK,8082.HK,8092.HK,0019.HK,0025.HK,0043.HK,0053.HK,0055.HK,0087.HK,0091.HK,0114.HK,0142.HK,0174.HK,0242.HK,0247.HK,0252.HK,0260.HK,0270.HK,0291.HK,0383.HK,0392.HK,0459.HK,0508.HK,0656.HK,0659.HK,0662.HK,0701.HK,0715.HK,1026.HK,1191.HK,1193.HK,1196.HK,165-OL.HK,8082.HK,8092.HK
35.361263275146484,2.5485408306121826,,40.54276657104492,,5.972707748413086,52.54183578491211,0.1417596936225891,1.2530051469802856,0.4055381715297699,5.731784343719482,8.133925437927246,0.7890820503234863,0.6609060168266296,1.5460277795791626,4.5589518547058105,0.7486249208450317,,0.4000000059604645,0.8526888489723206,,2.420842409133911,1.2482070922851562,0.1003945991396904,0.4497191905975342,0.09146766364574432,,6.9566121101379395,0.2317647635936737,,0.8532180190086365,0.03087591752409935,834400,15700000,,329000,,357500,38,275000,5296771,4000,32197183,0,0,45392,78380000,1414183,146258,,0,0,,340572,488000,102056,104818000,0,,15740,1165044,,34668,0
34.673301696777344,2.612654685974121,,40.806034088134766,,5.972707748413086,52.54183578491211,0.13954469561576843,1.297228217124939,0.4055381715297699,5.668097972869873,8.133925437927246,0.717346727848053,0.6344699859619141,1.517918586730957,4.465145111083984,0.7191515564918518,,0.4000000059604645,0.8192501664161682,,2.3787412643432617,1.2482070922851562,0.11888831108808517,0.4332660734653473,0.09146766364574432,,7.033910274505615,0.22649738192558289,,0.8532180190086365,0.03087591752409935,2158915,839373,,234300,,1867500,0,700000,10160763,0,17149226,0,30800,181568,58106000,3991576,241158,,0,8000,,1019141,2216000,970000,37532000,0,,13640,455909,,0,0
33.847747802734375,2.484426498413086,,40.54276657104492,,5.8951416015625,52.54183578491211,0.13511469960212708,1.2530051469802856,0.4055381715297699,5.317821979522705,8.029195785522461,0.7890820503234863,0.6344699859619141,1.405479907989502,4.296294689178467,0.6955733895301819,,0.4000000059604645,0.7941710352897644,,2.2945377826690674,1.241672158241272,0.1076599657535553,0.4552036225795746,0.09146766364574432,,6.802022457122803,0.2212299257516861,,0.88264000415802,0.03087591752409935,5436657,870984,,223000,,4882500,0,1485000,5821080,0,32889814,6160,0,70357,82800000,4676844,190638,,0,5600,,894995,2350000,800000,69108000,0,,25220,757098,,1359,0
33.572566986083984,2.5645697116851807,,40.016239166259766,,5.946850299835205,52.54183578491211,0.13740479946136475,1.282487392425537,0.4055381715297699,5.349664688110352,8.029195785522461,0.7890820503234863,0.6609060168266296,1.4335896968841553,4.277535438537598,0.7014676928520203,,0.4000000059604645,0.7941710352897644,,2.241910219192505,1.2351373434066772,0.11558586359024048,0.4497191905975342,0.09146766364574432,,6.802022457122803,0.2238633632659912,,0.88264000415802,0.03087591752409935,6297500,747648,,266000,,1874220,0,580000,2066595,0,23076484,0,0,315475,54384695,5023843,76478,,0,0,,791842,1082000,910000,19060000,0,,18840,375454,,0,0
33.572566986083984,2.5645697116851807,,39.489715576171875,,5.920994281768799,52.54183578491211,0.13511471450328827,1.2677456140518188,0.3945777118206024,5.063076496124268,8.029195785522461,0.7890820503234863,0.7314029932022095,1.3773703575134277,4.352578639984131,0.6837838888168335,,0.4000000059604645,0.7941710352897644,,2.273487091064453,1.2220667600631714,0.11096242070198059,0.4277816712856293,0.06906730681657791,,6.570133686065674,0.2238633632659912,,0.8237969875335693,0.03087591752409935,5368600,1517200,,389000,,1758500,0,1295000,5759472,120000,49072305,0,0,998628,94647203,10894450,483992,,0,0,,1046509,1976000,300000,60560000,905202,,36800,668391,,27191,0
34.12293243408203,2.708827018737793,,39.75297546386719,,5.8951416015625,52.54183578491211,0.13511471450328827,1.2677456140518188,0.4164986312389374,5.1267619132995605,8.099014282226562,0.7890820503234863,0.7314029932022095,1.3773703575134277,4.296294689178467,0.6837838888168335,,0.49000000953674316,0.7941710352897644,,2.2524356842041016,1.2155317068099976,0.11096242070198059,0.4332660734653473,0.07466786354780197,,6.724726676940918,0.2238633632659912,,0.8237969875335693,0.03087591752409935,2897298,1896621,,102000,,787500,0,500250,11230696,4000,21083826,14000,0,574211,50298000,5333785,430959,,0,0,,969115,674000,0,8298000,603468,,9180,319755,,0,0
33.572566986083984,2.6927988529205322,,39.22644805908203,,5.869283199310303,52.54183578491211,0.13740479946136475,1.2677456140518188,0.4164986312389374,4.8083295822143555,8.099014282226562,0.7890820503234863,0.722590982913971,1.2930413484573364,4.258774757385254,0.7073619365692139,,0.49000000953674316,0.8777679800987244,,2.2524356842041016,1.2351373434066772,0.11096242070198059,0.4332660734653473,0.07466786354780197,,6.647430896759033,0.218595951795578,,0.8237969875335693,0.03087591752409935,2666166,500910,,83000,,858000,761,735500,3560871,0,15799502,0,0,1820617,39974000,3982847,408879,,0,40000,,825467,1598600,0,18884000,502890,,10480,328007,,0,0
33.43497848510742,2.660740852355957,,39.489715576171875,,5.869283199310303,52.54183578491211,0.13740479946136475,1.2677456140518188,0.4055381715297699,4.712800025939941,8.064104080200195,0.7890820503234863,0.6609060168266296,1.3492611646652222,4.221250534057617,0.6896781921386719,,0.49000000953674316,0.8192501664161682,,2.199808359146118,1.2351373434066772,0.09312918782234192,0.416812926530838,0.08306775987148285,,6.570133686065674,0.2212299257516861,,0.8237969875335693,0.03087591752409935,2744561,264024,,162000,,1362500,0,630000,0,200000,28877728,1,0,43122,44720000,5134949,187009,,0,8000,,2293133,264569,880000,16160000,0,,14220,334195,,0,0
33.43497848510742,2.660740852355957,,39.09480667114258,,5.8951416015625,52.54183578491211,0.13969485461711884,1.297228217124939,0.4055381715297699,4.712800025939941,7.994284629821777,0.7890820503234863,0.6697180271148682,1.3211511373519897,4.18372917175293,0.6896781921386719,,0.49000000953674316,0.8192501664161682,,2.210334300994873,1.2482070922851562,0.0990736111998558,0.42229732871055603,0.06906730681657791,,6.492838382720947,0.2212299257516861,,0.8237969875335693,0.03087591752409935,2632712,343206,,97552,,1180500,0,1200000,37698712,100000,18620088,10000,0,1028133,28606056,2170910,150724,,0,0,,588808,707000,50000,8618000,442543,,19600,92832,,0,0
