Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0058.HK,0117.HK,0464.HK,0580.HK,0710.HK,0802.HK,0842.HK,0894.HK,0903.HK,1685.HK,1808.HK,1868.HK,3823.HK,3898.HK,8080.HK,8148.HK,8165.HK,8196.HK,8249.HK,8287.HK,8298.HK,0058.HK,0117.HK,0464.HK,0580.HK,0710.HK,0802.HK,0842.HK,0894.HK,0903.HK,1685.HK,1808.HK,1868.HK,3823.HK,3898.HK,8080.HK,8148.HK,8165.HK,8196.HK,8249.HK,8287.HK,8298.HK
15.697051048278809,,,,2.6768102645874023,,,0.3224153518676758,,,,,,,,0.6000400185585022,,,0.5453799366950989,,,0.0,,,,266158.0,,,130000.0,,,,,,,,237484.0,,,55000.0,,
15.697051048278809,,,,2.6952717304229736,,,0.3224153518676758,,,,,,,,0.5937240123748779,,,0.49753955006599426,,,0.0,,,,158000.0,,,56000.0,,,,,,,,158322.0,,,215000.0,,
15.447892189025879,,,,2.6583499908447266,,,0.30776000022888184,,,,,,,,0.5874069929122925,,,0.49753955006599426,,,0.0,,,,824623.0,,,12000.0,,,,,,,,158322.0,,,125000.0,,
14.949572563171387,,,,2.6952717304229736,,,0.30776000022888184,,,,,,,,0.5937240123748779,,,0.49753955006599426,,,800.0,,,,343000.0,,,0.0,,,,,,,,158322.0,,,0.0,,
14.949572563171387,,,,2.6029679775238037,,,0.3150876462459564,,,,,,,,0.574774980545044,,,0.49753955006599426,,,0.0,,,,413000.0,,,0.0,,,,,,,,158322.0,,,45000.0,,
14.949572563171387,,,,2.5660462379455566,,,0.3150876462459564,,,,,,,,0.574774980545044,,,0.49753955006599426,,,0.0,,,,796665.0,,,0.0,,,,,,,,158322.0,,,0.0,,
14.949572563171387,,,,2.6214284896850586,,,0.3297429382801056,,,,,,,,0.5684589743614197,,,0.4592672884464264,,,0.0,,,,119071.0,,,100000.0,,,,,,,,261232.0,,,280000.0,,
14.949572563171387,,,,2.5845069885253906,,,0.3297429382801056,,,,,,,,0.5684589743614197,,,0.49753955006599426,,,0.0,,,,550000.0,,,172000.0,,,,,,,,158322.0,,,145000.0,,
13.703776359558105,,,,2.6583499908447266,,,0.3663809895515442,,,,,,,,0.5684589743614197,,,0.4879714846611023,,,2000.0,,,,718000.0,,,52000.0,,,,,,,,158322.0,,,155000.0,,
15.946211814880371,,,,2.6768102645874023,,,0.3663809895515442,,,,,,,,0.5621430277824402,,,0.4879714846611023,,,8120.0,,,,706061.0,,,0.0,,,,,,,,158322.0,,,0.0,,
15.946211814880371,,,,2.6952717304229736,,,0.3663809895515442,,,,,,,,0.5621430277824402,,,0.5166757702827454,,,2520.0,,,,843107.0,,,0.0,,,,,,,,158322.0,,,115000.0,,
14.949572563171387,,,,2.7137317657470703,,,0.3297429382801056,,,,,,,,0.5684589743614197,,,0.4879714846611023,,,4000.0,,,,741553.0,,,100000.0,,,,,,,,174154.0,,,130000.0,,
16.444528579711914,,,,2.7875754833221436,,,0.3297429382801056,,,,,,,,0.5558260083198547,,,0.4784034490585327,,,11880.0,,,,2124207.0,,,0.0,,,,,,,,158322.0,,,340000.0,,
16.195369720458984,,,,2.7691152095794678,,,0.3297429382801056,,,,,,,,0.5558260083198547,,,0.5166757702827454,,,0.0,,,,1074859.0,,,98000.0,,,,,,,,158322.0,,,10000.0,,
15.447892189025879,,,,2.7321929931640625,,,0.3297429382801056,,,,,,,,0.5558260083198547,,,0.49753955006599426,,,1000.0,,,,443000.0,,,70000.0,,,,,,,,158322.0,,,260000.0,,
15.946211814880371,,,,2.7137317657470703,,,0.3297429382801056,,,,,,,,0.5558260083198547,,,0.5071076154708862,,,9000.0,,,,563473.0,,,0.0,,,,,,,,158322.0,,,20000.0,,
14.949572563171387,,,,2.8060364723205566,,,0.3297429382801056,,,,,,,,0.5495100021362305,,,0.5358119010925293,,,32480.0,,,,1537014.0,,,0.0,,,,,,,,419555.0,,,50000.0,,
16.444528579711914,,,,2.8060364723205566,,,0.3297429382801056,,,,,,,,0.5495100021362305,,,0.5166757702827454,,,18120.0,,,,426797.0,,,0.0,,,,,,,,158322.0,,,15000.0,,
16.444528579711914,,,,2.8060364723205566,,,0.3334066867828369,,,,,,,,0.5368779897689819,,,0.5262438058853149,,,32760.0,,,,586000.0,,,0.0,,,,,,,,221651.0,,,10000.0,,
17.690326690673828,,,,2.8060364723205566,,,0.3370705544948578,,,,,,,,0.5305619835853577,,,0.5262438058853149,,,33400.0,,,,1093000.0,,,0.0,,,,,,,,158322.0,,,30000.0,,
16.693687438964844,,,,2.8244974613189697,,,0.373708575963974,,,,,,,,0.5305619835853577,,,0.5262438058853149,,,11080.0,,,,768854.0,,,390000.0,,,,,,,,158322.0,,,65000.0,,
16.94285011291504,,,,2.8798789978027344,,,0.373708575963974,,,,,,,,0.524245023727417,,,0.5262438058853149,,,9000.0,,,,2152338.0,,,0.0,,,,,,,,158322.0,,,120000.0,,
17.44116973876953,,,,2.8614187240600586,,,0.3517257571220398,,,,,,,,0.524245023727417,,,0.5262438058853149,,,2000.0,,,,826199.0,,,174000.0,,,,,,,,158322.0,,,470000.0,,
