Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
0673.HK,0775.HK,1177.HK,1178.HK,4332.HK,8151.HK,8158.HK,8189.HK,8247.HK,0673.HK,0775.HK,1177.HK,1178.HK,4332.HK,8151.HK,8158.HK,8189.HK,8247.HK
25.25,0.9732823967933655,0.03268178924918175,,481.77276611328125,,2.5,0.1899999976158142,,6300,3258300,0,,0.0,,0,0,
24.0,0.95010906457901,0.0316276028752327,,483.7352294921875,,2.5,0.1899999976158142,,1200,3887084,1295996,,0.0,,0,5000,
24.75,0.9346597194671631,0.03204922750592232,,477.84796142578125,,2.5,0.1899999976158142,,18125,3653880,2794493,,0.0,,0,0,
23.75,0.9269356727600098,0.03247109428048134,,468.035888671875,,2.5,0.1899999976158142,,113100,3838323,364499,,0.0,,0,0,
24.5,0.9269356727600098,0.032260164618492126,,471.96075439453125,,2.5,0.1899999976158142,,20550,2885551,2996992,,0.0,,0,0,
23.25,0.9192115068435669,0.03352528437972069,,472.94189453125,,1.899999976158142,0.1899999976158142,,1500,1215682,40499,,0.0,,3000,0,
24.0,0.9269356727600098,0.03268178924918175,,472.94189453125,,1.899999976158142,0.1899999976158142,,94600,860640,161999,,0.0,,0,0,
23.75,0.9346597194671631,0.032260164618492126,,481.77276611328125,,1.899999976158142,0.1899999976158142,,10500,1152764,323999,,0.0,,0,20000,
24.0,0.9192115068435669,0.032260164618492126,,486.6788330078125,,1.899999976158142,0.1899999976158142,,13500,638177,0,,0.0,,0,0,
24.25,0.9346597194671631,0.03204922750592232,,480.7915344238281,,1.899999976158142,0.18799999356269836,,4000,712781,0,,0.0,,0,0,
24.0,0.9346597194671631,0.03204922750592232,,479.81036376953125,,1.899999976158142,0.18799999356269836,,6000,508160,0,,0.0,,0,110000,
24.0,0.9269356727600098,0.03204922750592232,,479.81036376953125,,1.899999976158142,0.1899999976158142,,10200,959738,0,,0.0,,0,10000,
24.0,0.9269356727600098,0.03204922750592232,,482.75396728515625,,1.899999976158142,0.1899999976158142,,13200,590337,0,,0.0,,0,65000,
24.0,0.9346597194671631,0.0316276028752327,,474.9043273925781,,1.899999976158142,0.1899999976158142,,20100,1452078,161999,,0.0,,0,0,
23.25,0.9269356727600098,0.0316276028752327,,471.96075439453125,,1.899999976158142,0.1899999976158142,,2700,829181,0,,0.0,,0,0,
23.75,0.9192115068435669,0.0316276028752327,,470.9794616699219,,1.899999976158142,0.20000000298023224,,150,1346015,769498,,0.0,,0,220000,
24.5,0.9114863872528076,0.0316276028752327,,469.01708984375,,1.899999976158142,0.20000000298023224,,9600,740960,80999,,0.0,,0,0,
24.75,0.9192115068435669,0.030573410913348198,,469.01708984375,,1.899999976158142,0.20000000298023224,,9000,685375,80999,,0.0,,0,0,
24.25,0.9192115068435669,0.03584460914134979,,478.8291931152344,,1.899999976158142,0.20000000298023224,,12300,1390869,5325736,,0.0,,0,0,
24.0,0.9114863872528076,0.03479040414094925,,463.1298522949219,,1.899999976158142,0.20000000298023224,,1300,933958,850497,,0.0,,0,0,
24.0,0.9192115068435669,0.034157849848270416,,459.2049560546875,,1.899999976158142,0.20000000298023224,,4600,552690,1093497,,0.0,,0,0,
24.0,0.9114863872528076,0.0337362140417099,,467.0546875,,1.899999976158142,0.20000000298023224,,8410,743117,202499,,0.0,,0,0,
24.0,0.9423848986625671,0.034157849848270416,,469.998291015625,,1.899999976158142,0.20000000298023224,,26165,4541397,0,,0.0,,0,0,
24.0,0.95010906457901,0.03479040414094925,,471.96075439453125,,1.899999976158142,0.20000000298023224,,2710,1047513,121499,,0.0,,0,0,
24.0,0.95010906457901,0.0337362140417099,,471.96075439453125,,1.899999976158142,0.20000000298023224,,1805,804058,121499,,0.0,,0,0,
24.0,0.95010906457901,0.03479040414094925,,471.96075439453125,,1.899999976158142,0.20000000298023224,,1448,1933152,273374,,0.0,,0,0,
24.0,0.95010906457901,0.03479040414094925,,471.96075439453125,,1.899999976158142,0.20000000298023224,,0,399984,0,,0.0,,0,0,
24.0,0.9655581116676331,0.03479040414094925,,478.8291931152344,,1.899999976158142,0.20000000298023224,,17400,1316223,0,,0.0,,0,0,
24.0,0.9810062646865845,0.034579478204250336,,476.8667297363281,,1.899999976158142,0.20000000298023224,,0,2224085,728998,,0.0,,0,0,
24.0,0.9655581116676331,0.034157849848270416,,479.81036376953125,,2.0,0.20000000298023224,,0,1587343,283499,,0.0,,2700,0,
24.0,0.9655581116676331,0.034157849848270416,,477.84796142578125,,2.0,0.20000000298023224,,0,770801,202499,,0.0,,0,0,
24.0,0.9578331708908081,0.0337362140417099,,469.998291015625,,2.0,0.20000000298023224,,5225,1164435,485998,,0.0,,0,0,
24.0,0.9578331708908081,0.0337362140417099,,467.0546875,,2.0,0.20000000298023224,,10250,756331,0,,0.0,,0,160000,
24.0,0.9578331708908081,0.03310365602374077,,467.0546875,,2.0,0.20000000298023224,,12050,804598,404998,,0.0,,0,50000,
24.0,0.95010906457901,0.033314354717731476,,463.1298522949219,,2.0,0.2160000056028366,,12000,690445,161999,,0.0,,0,130000,
24.0,0.95010906457901,0.033314354717731476,,461.1674499511719,,2.0,0.2160000056028366,,85,454004,202499,,0.0,,0,5000,
23.5,0.9423848986625671,0.0339469276368618,,466.073486328125,,2.0,0.2160000056028366,,7500,1517694,485998,,0.0,,0,10000,
